Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,16095,"-4,375793173","1,4938728057","0,3406773431","-0,109879473"
2,63182,"0,7865201","0,9921371915","-0,366777983","0,6546563543"
3,133438,"0,1553865991","-0,649957992","0,1325751044","-0,296722016"
