Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,16095,"-4,375793173","1,4938728057","0,3406773431","-0,109879473"
2,11818,"1,8066826346","2,8896308655","-0,062990324","0,4574988248"
3,5669,"1,8703835649","2,4498972597","1,2394644094","-2,484862914"
4,30017,"0,4516012367","0,3162805897","-0,109598087","1,3932393811"
5,15678,"0,2668464621","0,32869578","-1,668967015","0,5244034967"
6,47470,"0,0302557339","-0,572951013","-0,896739753","-0,850064472"
7,67413,"0,0899261846","-0,915329832","0,6011642137","0,1859384604"
8,18555,"0,7133410639","0,1171662663","1,0634605071","-0,634659191"
