PCA,15,10,5,3
3,0.3807,0.3488,0.3623,0.3914
4,0.3135,0.3151,0.3212,0.3839
5,0.3030,0.2778,0.2891,0.3666
6,0.2967,0.2768,0.2761,0.3517
