 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 350736  69464  24844 385300    0    0     0     0 3403  603  1 19 80  0  0
 0  0 350736  69016  24844 385312    0    0     0     0 4962  940  2 32 66  0  0
 0  0 350736  68792  24844 385316    0    0     0     0 5057  898  2 38 60  0  0
 2  0 350736  68792  24844 385328    0    0     0     0 5127 1056  2 39 59  0  0
 0  0 350736  68792  24852 385328    0    0     0    12 4507 1107  2 34 64  0  0
 1  0 350736  68120  24852 385352    0    0     0     0 5282  968  5 47 48  0  0
 0  0 350736  67896  24852 385356    0    0     0     0 4431 1077  7 53 40  0  0
 0  0 350736  67896  24852 385368    0    0     0     0 5249 1022  5 47 48  0  0
 0  0 350736  67672  24852 385376    0    0     0     0 4724  998  6 45 49  0  0
 1  0 350736  67672  24860 385388    0    0     0    12 4660  930  4 45 51  0  0
 0  0 350736  67672  24860 385396    0    0     0     0 4836  954  5 42 53  0  0
 0  0 350736  67000  24860 385408    0    0     0     0 4648  855  1 49 50  0  0
 3  0 350736  66104  24860 385416    0    0     0     0 4350  880  3 36 62  0  0
 0  0 350736  65880  24860 385420    0    0     0     0 3230  764  4 37 59  0  0
 2  0 350736  65880  24868 385428    0    0     0    12 3499  752  3 37 60  0  0
 2  0 350736  65880  24868 385612    0    0   204     0 3148  870  3 56 41  0  0
 1  0 350736  66144  24868 385652    0    0     0   364 3621  954  5 43 52  0  0
 1  0 350736  65472  24868 385656    0    0     0     0 3206  826  4 41 55  0  0
 1  0 350736  65728  24868 385664    0    0     0     0 3109  914  4 42 55  0  0
 0  0 350736  65504  24880 385656    0    0     0    92 3348  909  3 39 58  0  0
 0  0 350736  65504  24880 385676    0    0     0     0 3129  852  5 35 59  0  0
 0  0 350736  65280  24880 385680    0    0     0   368 3102  856  1 36 63  0  0
 1  0 350736  64360  24880 385688    0    0     0     0 3083  887  4 32 64  0  0
 1  0 350736  64360  24880 385692    0    0     0     0 3278  902  3 37 61  0  0
 0  0 350736  64360  24888 385700    0    0     0    20 3018  825  3 45 52  0  0
 0  0 350736  64360  24888 385708    0    0     0     0 1800  611  4 68 28  0  0
 1  0 350736  63912  24888 385712    0    0     0     0 3242  901  3 41 57  0  0
 1  0 350736  63912  24888 385716    0    0     0     0 3214  779  3 43 54  0  0
 5  0 350736  63912  24888 385720    0    0     0     0 2833  724  5 56 39  0  0
 1  0 350736  63912  24896 385728    0    0     0    12 3414  912  3 42 55  0  0
