 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 384116  97436  24748 388724    0    0     8   948 4513 1464 11 42 47  0  0
 0  0 384116  97436  24748 388732    0    0     0     0 4820  915  3 44 54  0  0
 0  0 384116  97436  24748 388736    0    0     0     0 4937  956  5 49 47  0  0
 2  0 384116  97436  24748 388752    0    0     0     0 4720  948  5 54 41  0  0
 0  0 384116  97436  24748 388756    0    0     0     0 5005  958  7 58 35  0  0
 0  0 384116  97436  24760 388776    0    0     0   412 4522  917  4 62 33  1  0
 7  0 384116  97436  24760 388784    0    0     0     0 2550  812  9 80 11  0  0
 1  0 384116  97436  24760 388788    0    0     0     0 4716  967  9 60 30  0  0
 1  0 384116  97436  24760 388808    0    0     0     0 3772  890  7 68 26  0  0
 1  0 384116  97436  24760 388816    0    0     0     0 4338 1016  7 69 24  0  0
 1  0 384116  97436  24768 388752    0    0     0    20 3594  909  6 70 24  0  0
 4  0 384116  97436  24768 388764    0    0     0     0 4483 1128 11 56 33  0  0
 0  0 384116  97436  24768 388768    0    0     0     0 3988  871  8 49 43  0  0
 0  0 384116  97436  24768 388780    0    0     0     0 4043 1138  6 61 33  0  0
 2  0 384116  97436  24768 388788    0    0     0     0 3131  837  6 62 31  0  0
 1  0 384116  97436  24776 388788    0    0     0    24 3351  870  9 53 38  0  0
 1  0 384116  97436  24776 388800    0    0     0     0 2890  793  7 60 33  0  0
 1  0 384116  97436  24776 388804    0    0     0     0 3008  922  3 61 37  0  0
 2  0 384116  97436  24776 388820    0    0     0     0 3316  965  5 53 41  0  0
 1  0 384116  97436  24776 388820    0    0     0     0 3484 1166  9 48 43  0  0
 1  0 384116  97436  24784 388832    0    0     0    12 2299  692  6 66 29  0  0
 0  0 384116  97436  24784 388836    0    0     0     0 3417  949  4 45 51  0  0
 1  0 384116  97436  24784 388844    0    0     0     0 3219  929 10 44 46  0  0
 0  0 384116  97436  24784 388848    0    0     0     0 2842  783  5 55 41  0  0
 1  0 384116  97436  24784 388860    0    0     0     0 2399  681  3 65 32  0  0
 5  0 384116  97436  24792 388872    0    0     0    12 2992 1010 11 44 45  0  0
 2  0 384116  97436  24792 388880    0    0     0     0 3197 1100 15 53 32  0  0
 1  0 384116  97436  24792 388888    0    0     0     0 2553  859 13 58 30  0  0
 3  0 384116  97436  24792 388892    0    0     0     0 2632  908 12 56 32  0  0
 1  0 384116  97436  24792 388900    0    0     0     0 2343  795  7 63 31  0  0
 1  0 384116  97436  24800 388908    0    0     0    12 2063  769 11 60 28  0  0
 5  0 384116  97436  24800 388916    0    0     0   276 2826  913  9 53 38  0  0
 2  0 384116  97436  24800 388920    0    0     0     0 1952  702  9 68 23  0  0
 2  0 384116  97436  24800 388928    0    0     0     0 2429  717  9 61 30  0  0
 1  0 384116  97436  24800 388932    0    0     0     0 1865  626  9 67 24  0  0
 1  0 384116  97436  24812 388940    0    0     0    44 2512  820 11 59 30  0  0
 0  0 384116  97436  24812 388944    0    0     0   112 2514  893 10 58 31  0  0
 0  0 384116  97436  24812 388956    0    0     0     0 2561  791  6 60 34  0  0
 7  0 384116  97436  24812 388960    0    0     0     0 2047  711 10 67 23  0  0
 4  0 384116  97436  24812 388964    0    0     0     0 2656  825 11 55 35  0  0
 0  0 384116  97436  24820 388976    0    0     0    12 2220  699  7 62 32  0  0
 5  0 384116  97436  24820 388984    0    0     0   152 2571  926 13 58 29  0  0
 2  0 384116  97436  24820 388996    0    0     0     0 2875  924  8 58 33  0  0
 0  0 384116  97436  24820 388996    0    0     0     0 2192  792  8 65 27  0  0
 9  0 384116  97436  24820 389008    0    0     0     0 2108  759 10 63 28  0  0
 2  0 384116  97436  24828 389012    0    0     0    12 1348  501  9 78 13  0  0
 2  0 384116  97436  24828 389020    0    0     0     0 2560  797 10 54 36  0  0
 1  0 384116  97436  24828 389028    0    0     0     0 2055  748 10 62 28  0  0
 8  0 384116  97436  24828 389032    0    0     0     0 2820  873 10 56 33  0  0
 1  0 384116  97436  24828 389040    0    0     0     0 2691  892  6 60 34  0  0
 2  0 384116  97436  24836 389044    0    0     0    12 2601  900 10 59 32  0  0
 1  0 384116  97436  24836 389052    0    0     0     0 2222  768  7 60 33  0  0
 1  0 384116  97436  24836 389060    0    0     0     0 1988  765 11 71 18  0  0
 1  0 384116  97436  24836 389064    0    0     0     0 2158  660  7 66 26  0  0
 1  0 384116  97436  24836 389072    0    0     0     0 1988  703  4 65 30  0  0
 1  0 384116  97436  24844 389076    0    0     0    16 2206  786 10 61 30  0  0
 3  0 384116  97436  24844 389084    0    0     0     0 1741  703 18 68 14  0  0
 2  0 384116  97436  24844 389088    0    0     0     0 2350  847  7 63 30  0  0
 7  0 384116  97436  24844 389096    0    0     0     0 2854  803 10 57 33  0  0
 0  0 384116  97436  24844 389100    0    0     0     0 1170  511  8 82  9  0  0
 1  0 384116  97436  24852 389108    0    0     0    12 2620  914 11 55 34  0  0
11  0 384116  97436  24852 389112    0    0     0     0 1938  723  8 68 24  0  0
 1  0 384116  97436  24852 389124    0    0     0   200 2629  749  9 51 40  0  0
 1  0 384116  97436  24852 389128    0    0     0     0 1863  772 12 63 25  0  0
 1  0 384116  97436  24852 389136    0    0     0     0 2655  920  8 59 32  0  0
 1  0 384116  97436  24860 389144    0    0     0    24 2712  994 14 58 28  0  0
 2  0 384116  97436  24860 389148    0    0     0     0 1384  618 12 73 15  0  0
 1  0 384116  97436  24860 389156    0    0     0     0 2390  838 11 59 30  0  0
 1  0 384116  97436  24860 389160    0    0     0     0 2528  919 12 57 32  0  0
 5  0 384116  97436  24860 389172    0    0     0     0 2592  929 13 53 34  0  0
 1  0 384116  97436  24868 389164    0    0     0    12 2028  659  8 66 26  0  0
 1  0 384116  97436  24868 389184    0    0     0     0 2400  880  8 61 31  0  0
 8  0 384116  97436  24868 389184    0    0     0     0 2678  845  8 61 32  0  0
 1  0 384116  97436  24868 389196    0    0     0     0 2348  825 10 59 30  0  0
 7  0 384116  97436  24868 389204    0    0     0     0 1802  683  9 73 18  0  0
 1  0 384116  97436  24876 389208    0    0     0    12 1718  638  8 56 36  0  0
 1  0 384116  97436  24876 389216    0    0     0     0 2547  879  9 63 29  0  0
 2  0 384116  97436  24876 389220    0    0     0     0 1588  687 10 74 16  0  0
11  0 384116  97436  24876 389228    0    0     0     0 2027  813 12 62 26  0  0
15  0 384116  97436  24876 389232    0    0     0     0 2091  766  9 64 26  0  0
 1  0 384116  97436  24884 389236    0    0     0    12 2090  670  8 65 27  0  0
 0  0 384116  97436  24884 389244    0    0     0     0 2695  835  6 60 33  0  0
 1  0 384116  97436  24884 389252    0    0     0     0 1841  633  7 71 21  0  0
 7  0 384116  97436  24884 389260    0    0     0     0 2406  883  8 61 31  0  0
 5  0 384116  97436  24884 389264    0    0     0     0 1000  523  9 87  4  0  0
 0  0 384116  97436  24892 389268    0    0     0    12 2483  836  9 57 33  1  0
 2  0 384116  97436  24892 389276    0    0     0     0 2252  760 11 62 28  0  0
 1  0 384116  97436  24892 389280    0    0     0    16 2703  894 12 54 35  0  0
 1  0 384116  97436  24892 389284    0    0     0     0 1937  684  6 71 23  0  0
 1  0 384116  97436  24892 389292    0    0     0     0 2038  702  8 65 26  0  0
 2  0 384116  97436  24900 389296    0    0     0    12 2357  870 11 58 32  0  0
10  0 384116  97436  24900 389304    0    0     0     0 1791  656  7 71 22  0  0
 1  0 384116  97436  24900 389308    0    0     0   192 1886  729  9 67 24  0  0
 1  0 384116  97436  24900 389312    0    0     0     0 2050  711 10 66 24  0  0
 4  0 384116  97436  24900 389320    0    0     0     0 1972  674  9 70 21  0  0
 1  0 384116  97436  24908 389328    0    0     0    24 2886  907  8 51 41  0  0
 0  0 384116  97436  24908 389332    0    0     0     0 1782  715 11 64 25  0  0
 1  0 384116  97436  24908 389336    0    0     0     0 1748  644 13 67 20  0  0
 1  0 384116  97436  24908 389340    0    0     0     0 2153  753  8 56 35  0  0
 1  0 384116  97436  24908 389348    0    0     0     0 1940  683 11 67 23  0  0
 0  0 384116  97436  24916 389356    0    0     0    12 1226  531  5 81 13  0  0
 5  0 384116  97436  24916 389360    0    0     0     0 1787  716 10 68 22  0  0
 3  0 384116  97436  24916 389368    0    0     0     0 1443  627 10 75 15  0  0
11  0 384116  97436  24916 389372    0    0     0     0 2133  720  6 63 30  0  0
 3  0 384116  97436  24916 389384    0    0     0     0 1416  616  8 74 18  0  0
12  0 384116  97436  24924 389388    0    0     0    12 1990  761 10 60 30  0  0
 1  0 384116  97436  24924 389396    0    0     0     0 1905  726  9 67 24  0  0
 3  0 384116  97436  24924 389400    0    0     0     0 1753  675 11 63 25  0  0
 9  0 384116  97436  24924 389404    0    0     0     0 2360  757  7 59 34  0  0
 9  0 384116  97436  24924 389412    0    0     0     0 1977  693  7 75 18  0  0
 9  0 384116  97436  24932 389416    0    0     0    12 1522  607  7 76 17  0  0
 4  0 384116  97436  24932 389424    0    0     0     0 1594  689 10 75 15  0  0
 2  0 384116  97436  24932 389428    0    0     0     0 2258  791 10 64 26  0  0
 2  0 384116  97436  24932 389436    0    0     0     0 1972  760 15 61 24  0  0
 1  0 384116  97436  24932 389440    0    0     0     0 2433  881 13 52 35  0  0
 0  0 384116  97436  24940 389444    0    0     0    12 1301  684 21 68 11  0  0
 2  0 384116  97436  24940 389452    0    0     0     0 2324  865  9 60 31  0  0
 0  0 384116  97436  24940 389460    0    0     0     0 1489  693 12 74 14  0  0
11  0 384116  97436  24940 389464    0    0     0     0 1693  689 12 71 18  0  0
 3  0 384116  97436  24940 389476    0    0     0     0 2522  830  8 48 44  0  0
 1  0 384116  97436  24948 389480    0    0     0    12 1731  711  9 65 26  0  0
 0  0 384116  97436  24948 389488    0    0     0     0 2296  873  8 63 28  0  0
 3  0 384116  97436  24948 389492    0    0     0     0 1444  690  8 75 16  0  0
 1  0 384116  97436  24948 389500    0    0     0   184 2213  851 12 58 31  0  0
 1  0 384116  97436  24948 389512    0    0     0     0 1897  850 11 64 24  0  0
 1  0 384116  97436  24956 389516    0    0     0    24 2054  791 16 57 27  0  0
 1  0 384116  97436  24956 389520    0    0     0     0 2264  806 10 51 39  0  0
 0  0 384116  97436  24956 389528    0    0     0     0 1987  753 12 60 28  0  0
 2  0 384116  97436  24956 389532    0    0     0    12 1969  675  7 55 38  0  0
 6  0 384116  97436  24956 389532    0    0     0     0 1793  578  6 69 25  0  0
 8  0 384116  97436  24964 389544    0    0     0    12 1609  677  9 73 18  0  0
 2  0 384116  97436  24964 389548    0    0     0     0 1729  735  8 76 16  0  0
 1  0 384116  97436  24964 389552    0    0     0     0 2075  834 10 64 26  0  0
 5  0 384116  97436  24964 389560    0    0     0     0 2163  793 11 56 33  0  0
 2  0 384116  97436  24964 389564    0    0     0     0 2083  753  9 64 26  0  0
