 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 410928  62584  25948 417568    0    0     0    12 1954  577  4 15 80  0  0
 0  0 410928  62584  25948 417580    0    0     0     0 3040  641  1 21 77  0  0
 0  0 410928  62584  25948 417584    0    0     0     0 2119  686  1 16 83  0  0
 0  0 410928  62584  25948 417588    0    0     0     0 1664  606  2 17 81  0  0
 1  0 410928  62584  25948 417592    0    0     0     0 2700  656  5 22 73  0  0
 0  0 410928  62584  25956 417596    0    0     0    12 1774  684  3 18 79  0  0
 0  0 410928  62584  25956 417600    0    0     0     0 2459  569  2 18 80  0  0
 0  0 410928  62584  25956 417604    0    0     0     0 2327  597  2 19 79  0  0
 2  0 410928  62584  25956 417612    0    0     0     0 2410  714  5 22 73  0  0
 0  0 410928  62584  25956 417612    0    0     0     0 2084  559  2 11 86  0  0
 1  0 410928  62584  25964 417620    0    0     0    12 2441  654  2 21 77  0  0
 1  0 410928  62584  25964 417624    0    0     0     0 2833  633  6 22 72  0  0
 0  0 410928  62584  25964 417628    0    0     0   136 2066  548  5 13 83  0  0
 2  0 410928  62584  25964 417632    0    0     0     0 2353  624  4 19 77  0  0
 0  0 410928  62584  25964 417636    0    0     0     0 2345  612  3 15 82  0  0
 1  0 410928  62584  25976 417640    0    0     0    32 2146  582  2 15 81  1  0
 0  0 410928  62584  25976 417644    0    0     0     0 1612  598  2 14 84  0  0
 1  0 410928  62584  25976 417648    0    0     0    16 2211  646  4 16 80  0  0
 0  0 410928  62584  25976 417652    0    0     0     0 1951  632  3 16 81  0  0
 1  0 410928  62584  25976 417660    0    0     0     0 2499  617  2 19 79  0  0
 0  0 410928  62584  25976 417660    0    0     0     0 2329  687  6 17 78  0  0
 0  0 410928  62584  25984 417668    0    0     0    12 2318  569  2 20 78  0  0
 2  0 410928  62584  25984 417668    0    0     0     0 2887  648  5 20 75  0  0
 0  0 410928  62584  25984 417676    0    0     0     0 2768  725  6 25 69  0  0
 1  0 410928  62584  25984 417680    0    0     0     0 1933  533  2 16 82  0  0
 0  0 410928  62584  25984 417684    0    0     0     0 1995  594  1 19 80  0  0
 0  0 410928  62584  25992 417688    0    0     0    12 2223  673  4 18 77  0  0
 2  0 410928  62584  25992 417692    0    0     0     0 2566  632  2 21 77  0  0
 2  0 410928  62584  25992 417696    0    0     0     0 2403  611  3 18 78  0  0
 0  0 410928  62584  25992 417700    0    0     0     0 2393  655  2 19 79  0  0
 0  0 410928  62584  25992 417704    0    0     0     0 2885  637  3 22 74  0  0
 0  0 410928  62584  26000 417708    0    0     0    12 2253  579  2 23 75  0  0
 0  0 410928  62584  26000 417716    8    0     8     0 1799  604  2 17 81  0  0
 1  0 410928  62584  26000 417716    0    0     0     0 2734  583  2 23 75  0  0
 0  0 410928  62584  26000 417724    0    0     0     0 1816  508  2 14 84  0  0
 0  0 410928  62584  26000 417724    0    0     0     0 2330  609  7 16 77  0  0
 0  0 410928  62584  26008 417732    0    0     0    12 2216  565  2 19 79  0  0
 0  0 410928  62584  26008 417736    0    0     0     0 2494  668  2 21 77  0  0
 0  0 410928  62584  26008 417740    0    0     0     0 1988  636  3 11 85  0  0
 0  0 410928  62584  26008 417744    0    0     0     0 1810  643  2 15 83  0  0
 1  0 410928  62584  26008 417748    0    0     0     0 2040  637  3 11 85  0  0
 0  0 410928  62584  26016 417752    0    0     0    12 2987  656  1 23 74  1  0
 0  0 410928  62584  26016 417756    0    0     0   136 2411  592  3 17 80  0  0
 0  0 410928  62584  26016 417760    0    0     0     0 2853  694  7 20 74  0  0
 0  0 410928  62584  26016 417768    0    0     0     0 2330  601  2 15 83  0  0
 0  0 410928  62584  26016 417768    0    0     0     0 2525  635  3 20 77  0  0
 0  0 410928  62584  26028 417776    0    0     0    32 2588  632  4 13 84  0  0
 0  0 410928  62584  26028 417776    0    0     0     0 2005  669  2 19 78  1  0
 0  0 410928  62584  26028 417784    0    0     0     0 2603  683  5 18 77  0  0
 0  0 410928  62584  26028 417788    0    0     0     0 2082  598  2 22 76  0  0
 0  0 410928  62584  26028 417792    0    0     0     0 2183  589  3 19 78  0  0
 0  0 410928  62584  26036 417796    0    0     0    12 1613  588  3 16 80  0  0
 1  0 410928  62584  26036 417800    0    0     0     0 2491  567  3 23 74  0  0
 0  0 410928  62584  26036 417804    0    0     0    64 2445  566  2 20 78  0  0
 1  0 410928  62584  26036 417808    0    0     0     0 1808  647  1 17 82  0  0
 0  0 410928  62584  26036 417812    0    0     0     0 2992  633  1 26 73  0  0
 1  0 410928  62584  26048 417820    0    0     0    32 1867  591  3 17 80  0  0
 0  0 410928  62584  26048 417820    0    0     0     0 2090  639  2 17 80  0  0
 0  0 410928  62584  26048 417828    0    0     0     0 1782  564  2 15 83  0  0
 0  0 410928  62584  26048 417828    0    0     0     0 2847  631  2 23 75  0  0
 0  0 410928  62584  26048 417836    0    0     0     0 2151  606  3 20 77  0  0
 0  0 410928  62584  26056 417840    0    0     0    12 1533  596  4 14 82  0  0
 0  0 410928  62584  26056 417844    0    0     0     0 2812  626  3 19 78  0  0
 0  0 410928  62584  26056 417848    0    0     0     0 1694  620  2 17 81  0  0
 1  0 410928  62584  26056 417852    0    0     0     0 2402  659  2 23 75  0  0
 0  0 410928  62584  26056 417856    0    0     0     0 2513  714  5 19 76  0  0
 0  0 410928  62584  26064 417860    0    0     0    12 2254  581  3 18 79  0  0
 0  0 410928  62584  26064 417864    0    0     0     0 2074  616  3 16 81  0  0
 0  0 410928  62584  26064 417872    0    0     0     0 2504  755  6 23 70  0  0
 0  0 410928  62584  26064 417872    0    0     0     0 1917  615  2 15 83  0  0
 1  0 410928  62584  26064 417880    0    0     0     0 2157  626  4 17 79  0  0
 1  0 410928  62584  26072 417880    0    0     0    12 2676  618  5 17 78  0  0
 0  0 410928  62584  26072 417888    0    0     0     0 2176  585  1 22 76  0  0
 0  0 410928  62584  26072 417892    0    0     0     0 1662  580  3 11 86  0  0
 0  0 410928  62584  26072 417896    0    0     0     0 2870  656  2 18 79  0  0
 0  0 410928  62584  26072 417900    0    0     0     0 2278  657  2 20 78  0  0
 0  0 410928  62584  26080 417904    0    0     0    12 2495  625  6 18 77  0  0
 0  0 410928  62584  26080 417908    0    0     0     0 2371  576  5 21 74  0  0
 0  0 410928  62584  26080 417912    0    0     0     0 1943  590  2 16 82  0  0
 0  0 410928  62584  26080 417916    0    0     0     0 2458  674  3 24 72  0  0
 0  0 410928  62584  26080 417920    0    0     0     0 2145  662  3 20 77  0  0
 0  0 410928  62584  26088 417928    0    0     0    12 2290  629  4 20 74  1  0
 0  0 410928  62584  26088 417928    0    0     0     0 1820  555  3 13 84  0  0
 0  0 410928  62584  26088 417936    0    0     0   140 2881  618  5 19 77  0  0
 0  0 410928  62584  26088 417936    0    0     0     0 1900  569  1 19 80  0  0
 0  0 410928  62584  26088 417944    0    0     0     0 2308  553  3 16 80  0  0
 0  0 410928  62584  26100 417948    0    0     0    32 2914  715  4 22 74  0  0
 0  0 410928  62584  26100 417952    0    0     0     0 2709  613  2 24 73  0  0
 0  0 410928  62584  26100 417956    0    0     0    16 2561  578  2 19 79  0  0
 0  0 410928  62584  26100 417960    0    0     0     0 2537  689  3 22 74  0  0
 0  0 410928  62584  26100 417964    0    0     0     0 2558  612  3 18 78  0  0
 0  0 410928  62584  26108 417984    0    0     0    12 2081  645  2 15 83  0  0
 1  0 410928  62584  26108 417992    4    0     4     0 2288  627  2 20 78  0  0
 0  0 410928  62584  26108 417992    0    0     0     0 1770  540  3 13 84  0  0
 0  0 410928  62584  26108 418000    0    0     0     0 3091  645  2 28 70  0  0
 0  0 410928  62584  26108 418000    0    0     0     0 2545  633  4 18 77  0  0
 1  0 410928  62584  26116 418008    0    0     0    12 1955  567  3 12 85  0  0
 0  0 410928  62584  26116 418012    0    0     0     0 2497  593  2 19 78  0  0
 0  0 410928  62584  26116 418016    0    0     0     0 2452  641  4 21 74  0  0
 0  0 410928  62584  26116 418020    0    0     0     0 2247  591  2 17 81  0  0
 0  0 410928  62584  26116 418024    0    0     0     0 1656  591  5 16 79  0  0
 0  0 410928  62584  26124 418028    0    0     0    12 1896  623  4 12 83  0  0
 0  0 410928  62584  26124 418032    0    0     0     0 2666  585  2 22 75  0  0
 0  0 410928  62584  26124 418036    0    0     0     0 2669  614  5 17 78  0  0
 0  0 410928  62584  26124 418040    0    0     0     0 2711  627  3 19 78  0  0
 1  0 410928  62584  26124 418048    0    0     0     0 2093  614  3 17 79  0  0
 0  0 410928  62584  26132 418048    0    0     0    12 2931  591  5 23 71  1  0
 1  0 410928  62584  26132 418056    0    0     0     0 2241  596  1 18 80  0  0
 1  0 410928  62584  26132 418056    0    0     0     0 1843  567  5 18 77  0  0
 2  0 410928  62584  26132 418064    0    0     0     0 2650  683  3 24 72  0  0
 0  0 410928  62584  26132 418068    0    0     0     0 2326  647  2 17 80  0  0
 0  0 410928  62584  26140 418064    0    0     0    12 2286  593  2 19 79  0  0
 2  0 410928  62584  26140 418076    0    0     0     0 2030  610  3 17 80  0  0
 0  0 410928  62584  26140 418080    0    0     0     0 3073  614  3 23 73  0  0
 0  0 410928  62584  26140 418084    0    0     0   136 2948  609  2 21 77  0  0
 0  0 410928  62584  26140 418088    0    0     0     0 2479  635  3 22 74  0  0
 0  0 410928  62584  26152 418096    0    0     0    32 2283  612  2 21 77  0  0
 0  0 410928  62584  26152 418096    0    0     0     0 1957  655  4 19 77  0  0
 0  0 410928  62584  26152 418104    0    0     0     0 2551  667  1 20 79  0  0
 1  0 410928  62584  26152 418108    0    0     0     0 2489  662  3 20 77  0  0
 0  0 410928  62584  26152 418112    0    0     0     0 2010  617  2 17 81  0  0
 0  0 410928  62584  26160 418116    0    0     0    12 2522  658  5 17 77  0  0
 1  0 410928  62584  26160 418116    0    0     0     0 3209  667  3 23 74  0  0
 0  0 410928  62584  26160 418124    0    0     0     0 1786  662  2 13 85  0  0
 2  0 410928  62584  26160 418128    0    0     0     0 2616  686  2 24 74  0  0
 2  0 410928  62584  26160 418132    0    0     0     0 2374  596  2 16 81  0  0
 0  0 410928  62584  26168 418128    0    0     0    12 2221  651  3 20 77  0  0
 0  0 410928  62584  26168 418140    0    0     0     0 2662  599  2 24 74  0  0
 0  0 410928  62584  26168 418148    0    0     0     0 2917  662  6 18 76  0  0
 0  0 410928  62584  26168 418148    0    0     0     0 2851  624  3 21 76  0  0
 0  0 410928  62584  26168 418156    0    0     0     0 2545  594  2 21 77  0  0
 0  0 410928  62584  26176 418148    0    0     0    12 1921  566  2 19 79  0  0
 0  0 410928  62584  26176 418164    0    0     0     0 1713  546  2  9 89  0  0
 0  0 410928  62584  26176 418164    0    0     0     0 1855  612  2 16 82  0  0
 1  0 410928  62584  26176 418172    0    0     0     0 2262  572  2 17 80  0  0
 0  0 410928  62584  26176 418176    0    0     0     0 2513  555  2 21 77  0  0
 0  0 410928  62584  26184 418180    0    0     0    12 2217  539  5 18 77  0  0
 1  0 410928  62584  26184 418184    0    0     0     0 2454  656  4 18 78  0  0
 0  0 410928  62584  26184 418188    0    0     0     0 2290  562  2 18 80  0  0
 0  0 410928  62584  26184 418192    0    0     0     0 3043  671  4 25 72  0  0
 0  0 410928  62584  26184 418196    0    0     0     0 1881  547  0 15 85  0  0
 0  0 410928  62584  26192 418204    0    0     0    12 2407  580  4 17 78  1  0
 0  0 410928  62584  26192 418208    0    0     0     0 1810  561  2 14 84  0  0
 0  0 410928  62584  26192 418208    0    0     0     0 2426  669  3 18 78  0  0
 0  0 410928  62584  26192 418216    0    0     0     0 2456  575  2 21 77  0  0
 0  0 410928  62584  26192 418216    0    0     0   136 2290  610  3 16 80  0  0
 0  0 410928  62584  26204 418224    0    0     0    32 2557  588  2 20 77  0  0
 0  0 410928  62584  26204 418224    0    0     0     0 1951  595  3 12 84  0  0
 0  0 410928  62584  26204 418232    0    0     0     0 2108  616  3 19 77  0  0
 0  0 410928  62584  26204 418236    0    0     0     0 2272  638  3 17 80  0  0
 0  0 410928  62584  26204 418240    0    0     0    16 2632  633  6 23 71  0  0
 0  0 410928  62584  26212 418236    8    0     8    12 2374  583  4 21 75  0  0
 0  0 410928  62584  26212 418248    0    0     0     0 2830  616  2 19 78  0  0
 0  0 410928  62584  26212 418252    0    0     0     0 2114  548  3 17 79  0  0
 0  0 410928  62584  26212 418260    0    0     0     0 1742  549  2 17 81  0  0
 0  0 410928  62584  26212 418260    0    0     0     0 2746  573  2 19 79  0  0
 0  0 410928  62584  26220 418268    0    0     0    12 2510  655  5 16 79  0  0
 0  0 410928  62584  26220 418268    0    0     0     0 2437  618  2 19 79  0  0
 0  0 410928  62584  26220 418276    0    0     0     0 1538  617  1 11 88  0  0
 0  0 410928  62584  26220 418276    0    0     0     0 2368  558  2 22 76  0  0
 0  0 410928  62584  26220 418284    0    0     0     0 2320  541  5 18 77  0  0
 0  0 410928  62584  26228 418280    0    0     0    12 2561  676  2 19 79  0  0
 0  0 410928  62584  26228 418292    0    0     0     0 2319  530  2 17 81  0  0
 0  0 410928  62584  26228 418296    0    0     0     0 2089  578  5 16 78  0  0
 0  0 410928  62584  26228 418300    0    0     0     0 2089  655  3 18 78  0  0
 0  0 410928  62584  26228 418304    0    0     0     0 2698  569  4 19 78  0  0
 0  0 410928  62584  26236 418312    0    0     0    12 2002  587  3 15 80  1  0
 1  0 410928  62584  26236 418312    0    0     0     0 3052  638  3 22 76  0  0
 0  0 410928  62584  26236 418320    0    0     0     0 2860  598  3 20 76  0  0
 0  0 410928  62584  26236 418320    0    0     0     0 1817  590  2 18 79  0  0
 0  0 410928  62584  26236 418328    0    0     0     0 2837  683  2 23 75  0  0
 0  0 410928  62584  26244 418332    0    0     0    12 2645  562  5 18 78  0  0
 0  0 410928  62584  26244 418336    0    0     0     0 2300  652  5 17 78  0  0
 0  0 410928  62584  26244 418340    0    0     0     0 2347  609  2 19 79  0  0
 1  0 410928  62584  26244 418344    0    0     0     0 1948  619  1 16 83  0  0
 0  0 410928  62584  26244 418348    0    0     0   136 2548  626  2 18 79  0  0
