Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6
1,82,"-14,94273121","11,752812271","-2,072287626","-0,040587199","-0,244509469","0,6699136847"
2,8,"0,0727481767","12,615873136","30,786629729","0,031492649","-1,427707851","0,6713831306"
3,1394,"-1,248368348","-0,835418633","0,0505829443","-0,007204571","-0,607720485","-0,472575728"
4,408,"2,2763714782","0,5764753836","-0,454203701","-0,082847139","-1,628619128","-0,191506794"
5,908,"2,4620073943","0,6159786948","-0,212767347","-0,024894042","-0,310600163","0,4895243414"
6,137,"7,603482957","3,9002113836","-0,890969888","0,0378854229","0,9288738377","0,2946376538"
7,127,"7,3021001807","3,8082993542","-0,491585192","-0,058940896","1,7307811826","-2,470563073"
8,1575,"-1,577068193","-1,038999061","0,2326822655","-0,012823124","0,6707595813","0,0914584674"
9,354,"0,8972045778","-0,212496376","0,1406937294","0,0768365233","1,1946193556","1,0258880408"
10,1,"-2,086731545","-0,930367043","-0,156170525","64,816286125","-1,271170485","-1,702053559"
