Cluster,Conteggio,Principale1,Principale2,Principale3
1,82,"-14,94273121","11,752812271","-2,072287626"
2,8,"0,0727481767","12,615873136","30,786629729"
3,4904,"0,249739391","-0,217099835","-0,015572074"
