'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','Mapped','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Principale1,Principale2,Principale3,Cluster
152272,150216,25172,25108,160,25,5606960,31092,334648,0,141316,301804,5606960,48,77364,23772,27808,7196,298356,1020,"-14,97366283","11,866988658","-2,21410143",1
152272,150216,25172,25108,160,12,5607072,31188,334640,0,141320,301888,5607072,12,77364,23772,27872,7196,296112,1020,"-15,10023557","11,777347774","-2,192888944",1
152272,150216,25172,25108,160,9,5607220,31284,334648,0,141320,301992,5607220,176,77364,23772,28016,7196,296112,1020,"-15,11105235","11,762398172","-2,176491544",1
152272,150216,25172,25108,160,54,5606612,31388,334640,0,141324,302096,5606612,20,77368,23772,27828,7192,298256,1020,"-14,84516093","11,960054066","-2,297898637",1
152272,150216,25172,25108,160,44,5606568,31484,334648,0,141324,302184,5606568,44,77368,23772,27844,7196,295880,1530,"-15,1378112","11,725481776","-2,028907136",1
152272,150216,25172,25108,160,27,5606696,31580,334648,0,141320,302288,5606696,24,77364,23772,27924,7196,295724,1530,"-15,22077685","11,652777278","-1,995463692",1
152272,150216,25172,25108,160,18,5606776,31684,334640,0,141324,302384,5606776,56,77368,23772,27844,7192,295604,1530,"-15,27754024","11,602621658","-2,000210528",1
152272,150216,25172,25108,160,9,5606600,31780,334648,0,141324,302488,5606600,24,77368,23772,27864,7192,297264,1530,"-15,26844344","11,590910168","-1,981016457",1
152272,150216,25172,25104,160,60,5605928,31876,334648,0,141316,302584,5605928,32,77360,23772,27868,7196,296964,1530,"-15,0240791","11,798488797","-2,059713679",1
152272,150216,25172,25104,160,47,5606032,31972,334648,0,141324,302672,5606032,132,77368,23772,27884,7196,294908,1530,"-15,14558079","11,714833715","-2,030749036",1
152272,150216,25172,25104,160,31,5605796,32068,334648,0,141320,302776,5605796,176,77364,23772,27776,7192,294908,1530,"-15,23168089","11,638064811","-2,02054878",1
152272,150216,25172,25104,160,21,5606000,32172,334640,0,141316,302872,5606000,24,77360,23772,27772,7196,294908,1530,"-15,26892931","11,612554474","-1,985414785",1
152272,150216,25172,25104,160,9,5606344,32268,334648,0,141316,302968,5606344,56,77360,23772,27716,7192,294908,510,"-14,9652478","11,895136032","-2,438031715",1
152272,150216,25172,25104,160,43,5605452,32364,334648,0,141316,303072,5605452,20,77360,23772,27820,7196,294744,1020,"-14,97944516","11,862317238","-2,256559834",1
152272,150216,25172,25104,160,54,5605488,32468,334648,0,141324,303172,5605488,36,77364,23772,27776,7196,296808,1020,"-14,86570215","11,939718245","-2,275115146",1
152272,150216,25172,25104,160,44,5605560,32564,334648,0,141320,303268,5605560,12,77360,23772,27812,7196,296752,1020,"-14,91336863","11,897385528","-2,256214118",1
152272,150216,25216,25208,160,31,5605424,32668,334644,0,141428,303368,5605424,184,77468,23772,27812,7192,294548,1020,"-15,03677051","11,80463413","-2,248129925",1
152272,150216,25216,25208,160,21,5605380,32764,334652,0,141432,303468,5605380,140,77468,23772,27856,7196,294548,1530,"-15,25781727","11,606351268","-1,97914801",1
152272,150216,25228,25208,160,9,5605344,32860,334652,0,141432,303564,5605344,52,77468,23772,27860,7196,296596,1530,"-15,25165777","11,590012448","-1,956933695",1
152272,150216,25228,25208,160,56,5604472,32952,334644,0,141428,303648,5604472,28,77464,23772,27852,7192,298652,1530,"-14,97493014","11,78836166","-2,073459391",1
152272,150216,25228,25208,160,50,5604760,33048,334652,0,141436,303752,5604760,68,77472,23772,27828,7192,298592,1530,"-15,0051772","11,765649287","-2,05948842",1
152272,150216,25228,25208,160,34,5604888,33144,334652,0,141436,303848,5604888,36,77472,23772,27832,7196,296468,1530,"-15,13360546","11,683217428","-2,008429812",1
152272,150216,25228,25208,160,21,5605000,33240,334672,0,141432,303940,5605000,48,77468,23772,27824,7196,296528,1530,"-15,19296645","11,632725641","-1,981629683",1
152272,150216,25228,25208,160,9,5604980,33336,334672,0,141440,304040,5604980,124,77472,23772,27860,7192,294324,1530,"-15,3234527","11,533763349","-1,979920724",1
152272,150216,25228,25208,160,58,5604588,33440,334672,0,141440,304136,5604588,148,77472,23772,27852,7192,294280,1530,"-15,09140772","11,724548641","-2,077437595",1
152272,150216,25228,25208,160,49,5604288,33536,334672,0,141440,304232,5604288,8,77472,23772,27808,7196,294112,1530,"-15,12784463","11,699406503","-2,043705892",1
152272,150216,25228,25208,160,37,5604252,33632,334672,0,141444,304332,5604252,40,77472,23772,27796,7196,294112,1530,"-15,18363855","11,65168379","-2,01772713",1
152272,150216,25276,25208,160,21,5604256,33736,334672,0,141444,304436,5604256,8,77472,23772,27864,7192,294120,1530,"-15,26462311","11,571420786","-2,011298648",1
152272,151436,25412,25408,160,10,5604220,33832,334672,0,141644,304532,5604220,28,77672,23772,27816,7196,296224,1020,"-14,99721768","11,784648602","-2,202716153",1
