Cluster,Conteggio,Principale1,Principale2,Principale3
1,82,"-14,94273121","11,752812271","-2,072287626"
2,8,"0,0727481767","12,615873136","30,786629729"
3,3142,"-1,407338585","-0,952023079","0,1520914664"
4,1501,"2,4616505409","0,6107439613","-0,247092209"
5,261,"7,4775568788","3,8692422898","-0,702495914"
