Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,82,"-14,94273121","11,752812271","-2,072287626","-0,040587199"
2,6,"-1,843028383","12,758344461","25,221127618","0,0378529331"
3,2,"5,8200778565","12,188459162","47,483136061","0,0124117967"
4,8,"-1,712886754","3,1726713347","10,953555713","0,042242503"
5,1535,"-1,130093874","-1,217101168","0,3123307532","-0,052604216"
6,210,"0,2071327944","-0,660652294","-0,013017378","-0,061226498"
7,1379,"-1,958794299","-0,726944856","-0,061896146","-0,018234442"
8,905,"2,0112778174","0,3328247082","-0,254801802","-0,023612882"
9,575,"3,1433392996","1,0309658318","-0,23380973","-0,036722549"
10,13,"1,0044439457","-0,047640105","-0,09339687","2,2909794356"
11,9,"-0,106011595","-0,176046056","-0,233962859","5,7401018056"
12,1,"2,7830688981","0,7469579995","-0,205304009","19,892801238"
13,257,"7,3122164469","3,7167679839","-0,818146672","-0,009992725"
14,11,"10,102951175","6,597393362","2,1498227764","0,0353744499"
15,1,"-2,086731545","-0,930367043","-0,156170525","64,816286125"
