Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6
1,90,"-13,60802193","11,829528792","0,8485050281","-0,034180101","-0,349682659","0,6700443021"
2,4903,"0,25021593","-0,216954359","-0,015543398","-0,012592306","0,0066780766","-0,011952261"
3,1,"-2,086731545","-0,930367043","-0,156170525","64,816286125","-1,271170485","-1,702053559"
