Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4,Principale5
1,82,"-14,94273121","11,752812271","-2,072287626","-0,040587199","-0,244509469"
2,6,"-1,843028383","12,758344461","25,221127618","0,0378529331","-0,668005438"
3,2,"5,8200778565","12,188459162","47,483136061","0,0124117967","-3,70681509"
4,8,"-1,712886754","3,1726713347","10,953555713","0,042242503","-0,210310768"
5,1578,"-1,573752684","-1,038504235","0,2325920534","-0,012761105","0,6697366147"
6,112,"-1,461587535","-1,250116386","0,4961260163","0,0346425034","1,9062411655"
7,1353,"-1,252901301","-0,874320309","-0,004732299","-0,068472891","-0,596202758"
8,427,"2,0942447335","0,5360369569","-0,450944199","-0,08372068","-1,625290249"
9,917,"2,4441966881","0,6082177359","-0,211653124","-0,008177841","-0,311572852"
10,230,"2,0395259093","0,295203763","-0,027243719","0,0266701282","0,9067709897"
11,13,"0,4829244561","-0,048518831","-0,186666208","5,1029952788","-0,418261445"
12,1,"2,7830688981","0,7469579995","-0,205304009","19,892801238","0,2704260396"
13,66,"6,8815388395","3,4149744814","-0,607234632","-0,030497235","2,4510254696"
14,198,"7,6508198214","4,0030033422","-0,729377315","-0,001426128","0,9358446715"
15,1,"-2,086731545","-0,930367043","-0,156170525","64,816286125","-1,271170485"
