Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4,Principale5
1,82,"-14,94273121","11,752812271","-2,072287626","-0,040587199","-0,244509469"
2,8,"0,0727481767","12,615873136","30,786629729","0,031492649","-1,427707851"
3,4639,"-0,159998962","-0,448741151","0,0233422962","-0,01281416","-0,067756481"
4,264,"7,458499576","3,855996127","-0,698841644","-0,008693905","1,314639871"
5,1,"-2,086731545","-0,930367043","-0,156170525","64,816286125","-1,271170485"
