Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6
1,82,"-14,94273121","11,752812271","-2,072287626","-0,040587199","-0,244509469","0,6699136847"
2,8,"0,0727481767","12,615873136","30,786629729","0,031492649","-1,427707851","0,6713831306"
3,2974,"1,1409148246","0,2178614708","-0,165598329","-0,023114925","-0,48641526","-0,190253324"
4,1929,"-1,123002583","-0,887323607","0,21580101","0,003630746","0,7668955896","0,2629400999"
5,1,"-2,086731545","-0,930367043","-0,156170525","64,816286125","-1,271170485","-1,702053559"
