'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Cluster
152272,150216,25172,25104,160,31,5605796,32068,334648,0,141320,302776,5605796,8159224,176,0,77364,23772,27776,7192,294908,1530,0,2,"-15,18382815","11,499264227","-2,184362147","-0,012517094",1
152272,150216,25172,25104,160,21,5606000,32172,334640,0,141316,302872,5606000,8159224,24,0,77360,23772,27772,7196,294908,1530,0,2,"-15,22091198","11,473905276","-2,152574552","-0,018673666",1
152272,150216,25172,25104,160,9,5606344,32268,334648,0,141316,302968,5606344,8159224,56,0,77360,23772,27716,7192,294908,510,0,2,"-14,92163662","11,755677482","-2,560611619","-0,13628865",1
152272,150216,25172,25104,160,43,5605452,32364,334648,0,141316,303072,5605452,8159224,20,0,77360,23772,27820,7196,294744,1020,0,2,"-14,93395182","11,723071469","-2,402248883","-0,059909285",1
152272,150216,25172,25104,160,54,5605488,32468,334648,0,141324,303172,5605488,8159224,36,0,77364,23772,27776,7196,296808,1020,0,2,"-14,82053449","11,800121208","-2,422088777","-0,051984457",1
152272,150216,25172,25104,160,44,5605560,32564,334648,0,141320,303268,5605560,8159224,12,0,77360,23772,27812,7196,296752,1020,0,2,"-14,86807778","11,757909495","-2,403278065","-0,05834166",1
152272,150216,25216,25208,160,31,5605424,32668,334644,0,141428,303368,5605424,8159224,184,0,77468,23772,27812,7192,294548,1020,0,2,"-14,9911808","11,665517697","-2,391232187","-0,067836366",1
152272,150216,25216,25208,160,21,5605380,32764,334652,0,141432,303468,5605380,8159224,140,0,77468,23772,27856,7196,294548,1530,0,2,"-15,20980776","11,467910443","-2,146733466","-0,019058734",1
152272,150216,25228,25208,160,9,5605344,32860,334652,0,141432,303564,5605344,8159224,52,0,77468,23772,27860,7196,296596,1530,0,2,"-15,20370278","11,451428154","-2,125906595","-0,025592436",1
152272,150216,25228,25208,160,56,5604472,32952,334644,0,141428,303648,5604472,8159224,28,0,77464,23772,27852,7192,298652,1530,0,2,"-14,92780618","11,648810999","-2,238609018","0,0047593572",1
152272,150216,25228,25208,160,50,5604760,33048,334652,0,141436,303752,5604760,8159224,68,0,77472,23772,27828,7192,298592,1530,0,2,"-14,95796837","11,626201431","-2,224979711","0,0009032145",1
152272,150216,25228,25208,160,34,5604888,33144,334652,0,141436,303848,5604888,8159224,36,0,77472,23772,27832,7196,296468,1530,0,2,"-15,08595408","11,544341622","-2,176456308","-0,010114619",1
152272,150216,25228,25208,160,21,5605000,33240,334672,0,141432,303940,5605000,8159224,48,0,77468,23772,27824,7196,296528,1530,0,2,"-15,14516038","11,494013418","-2,150094142","-0,01831195",1
152272,150216,25228,25208,160,9,5604980,33336,334672,0,141440,304040,5604980,8159224,124,0,77472,23772,27860,7192,294324,1530,0,2,"-15,27534298","11,395342481","-2,143634166","-0,027249622",1
152272,150216,25228,25208,160,58,5604588,33440,334672,0,141440,304136,5604588,8159224,148,0,77472,23772,27852,7192,294280,1530,0,2,"-15,0438974","11,585560152","-2,239824199","0,0034782433",1
152272,150216,25228,25208,160,49,5604288,33536,334672,0,141440,304232,5604288,8159224,8,0,77472,23772,27808,7196,294112,1530,0,2,"-15,08017009","11,560598218","-2,209321548","-0,002155649",1
152272,150216,25228,25208,160,37,5604252,33632,334672,0,141444,304332,5604252,8159224,40,0,77472,23772,27796,7196,294112,1530,0,2,"-15,13581693","11,513058725","-2,183806112","-0,009756952",1
152272,150216,25276,25208,160,21,5604256,33736,334672,0,141444,304436,5604256,8159224,8,0,77472,23772,27864,7192,294120,1530,0,2,"-15,21666923","11,432799653","-2,17381965","-0,020045028",1
152272,151436,25412,25408,160,10,5604220,33832,334672,0,141644,304532,5604220,8159224,28,0,77672,23772,27816,7196,296224,1020,0,2,"-14,95169201","11,645383199","-2,350569055","-0,080067491",1
152272,151436,25412,25408,160,9,5604368,33936,334672,0,141640,304628,5604368,8159224,8,0,77668,23772,27888,7196,296184,1020,0,2,"-14,95588552","11,63814868","-2,349262998","-0,080742637",1
152272,151436,26132,26128,160,57,5602860,34032,334672,0,142368,304724,5602860,8159224,176,0,78396,23772,27900,7192,295952,1020,0,2,"-14,64026038","11,873247853","-2,46959742","-0,050282836",1
152272,151436,26132,26128,160,46,5602584,34128,334672,0,142364,304828,5602584,8159224,144,0,78392,23772,27848,7196,297588,1020,0,2,"-14,63265196","11,870264499","-2,4282237","-0,056218093",1
152272,151436,26132,26128,160,27,5602728,34224,334672,0,142364,304916,5602728,8159224,56,0,78392,23772,27936,7196,297300,1020,0,2,"-14,72847022","11,787177801","-2,39456484","-0,068339184",1
152272,151436,26136,26128,160,13,5603220,34320,334672,0,142360,305012,5603220,8159224,20,0,78388,23772,27860,7196,297180,1530,0,2,"-14,98390011","11,562835878","-2,163455491","-0,022398837",1
152272,151436,26136,26128,160,9,5603120,34424,334676,0,142364,305120,5603120,8159224,48,0,78392,23772,27792,7196,294828,1530,0,2,"-15,07258933","11,511036369","-2,156289037","-0,026232528",1
152272,151436,26472,26468,160,55,5601892,34520,334676,0,142708,305212,5601892,8159224,24,0,78732,23772,27888,7196,296944,1530,0,2,"-14,7389631","11,749575612","-2,252540687","0,0040815851",1
152272,151436,26472,26468,160,41,5602128,34616,334660,0,142708,305316,5602128,8159224,52,0,78732,23772,28012,7196,296724,1530,0,2,"-14,80881518","11,687766784","-2,222563218","-0,004825515",1
152272,151436,26472,26468,160,32,5602076,34720,334660,0,142708,305412,5602076,8159224,144,0,78732,23772,27856,7196,296560,1020,0,2,"-14,67447327","11,82523849","-2,407622509","-0,065584238",1
153484,151436,26612,26468,160,16,5602428,34800,334676,0,142712,305500,5602428,8159224,176,0,78736,23772,27856,7196,296532,1020,0,2,"-14,71588374","11,782805704","-2,387291755","-0,075382131",1
153484,151436,26612,26468,160,9,5601880,34896,334676,0,142716,305592,5601880,8159224,12,0,78736,23772,27972,7192,296532,1020,0,2,"-14,75366328","11,731182495","-2,400429533","-0,080024378",1
153484,151436,26612,26468,160,64,5600936,34992,334676,0,142712,305688,5600936,8159224,52,0,78732,23772,27928,7196,298544,1530,0,2,"-14,60538691","11,820778092","-2,2795213","0,0106405981",1
153484,151436,26612,26468,160,47,5601204,35088,334676,0,142716,305784,5601204,8159224,20,0,78736,23772,27844,7196,300372,1530,0,2,"-14,63246702","11,785664966","-2,246766859","0,0008165027",1
153484,151436,26612,26468,160,30,5601960,35192,334676,0,142716,305880,5601960,8159224,44,0,78736,23772,27808,7196,298140,1530,0,2,"-14,78133226","11,687491461","-2,21441443","-0,011104631",1
