Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,409,"-7,790876038","3,0403087646","-0,358202034","0,4679742048"
2,333,"-3,952530266","2,0962024411","-0,381198709","-0,148995899"
3,4459,"-0,295327765","-1,040435257","0,2837585205","-0,823598349"
4,745,"0,2197920508","0,1614862813","0,3679280171","-1,238647861"
5,1537,"-0,188909271","-0,791745372","0,9272572034","-0,235215972"
6,160,"0,2221869175","0,6050665291","4,297845167","1,35197804"
7,26,"0,6740120784","3,6921347156","12,492395482","4,6075991463"
8,7,"2,6654397572","9,8504256575","27,632499226","9,0035231716"
9,4136,"0,0002461537","-0,660322257","-0,205910625","0,172834801"
10,4051,"0,3202069515","-0,339419374","-0,466706367","1,1603178591"
11,1884,"1,3620393885","2,5327466389","-0,079545247","-0,898618374"
12,1758,"1,1434270759","1,6308369279","-0,57160632","0,3944962202"
