Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,12929,"-6,790906579","0,9067669959","0,3634205399","0,3525203584"
2,220209,"0,1064880981","-0,362161764","-0,42550212","-0,396511812"
3,131446,"0,4567327995","0,3365582586","0,7637729143","0,5783299679"
4,2905,"1,4851688003","8,1888238548","-3,922083019","2,319837509"
