Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,12929,"-6,790906579","0,9067669959","0,3634205399","0,3525203584"
2,84722,"-0,051683563","-0,714934336","-1,106415255","-0,450496162"
3,107705,"0,2095623948","-0,404952179","-0,089583286","0,078086136"
4,27782,"0,1892396042","0,8795177217","0,3486748511","-2,071801927"
5,76558,"0,5261882209","0,9489218675","1,0451851681","0,0747878355"
6,54888,"0,3598561022","-0,517568931","0,3712579871","1,2806725306"
7,2905,"1,4851688003","8,1888238548","-3,922083019","2,319837509"
