Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,409,"-7,790876038","3,0403087646","-0,358202034","0,4679742048"
2,333,"-3,952530266","2,0962024411","-0,381198709","-0,148995899"
3,5204,"-0,221583672","-0,868369241","0,2958081505","-0,883016467"
4,1537,"-0,188909271","-0,791745372","0,9272572034","-0,235215972"
5,160,"0,2221869175","0,6050665291","4,297845167","1,35197804"
6,26,"0,6740120784","3,6921347156","12,492395482","4,6075991463"
7,7,"2,6654397572","9,8504256575","27,632499226","9,0035231716"
8,4136,"0,0002461537","-0,660322257","-0,205910625","0,172834801"
9,4051,"0,3202069515","-0,339419374","-0,466706367","1,1603178591"
10,1884,"1,3620393885","2,5327466389","-0,079545247","-0,898618374"
11,1758,"1,1434270759","1,6308369279","-0,57160632","0,3944962202"
