Cluster,Conteggio,Principale1,Principale2,Principale3,Principale4
1,49,"-1,44731371","-6,556630697","0,0137042822","0,1261688764"
2,534,"0,293521152","-0,374375465","-0,032873622","-0,0260706"
3,345,"0,7346715321","1,3746698882","-0,079192602","0,011987737"
4,1,"0,5556212205","0,3654041454","26,460584616","-7,55695816"
5,1,"0,9858539463","1,7946248011","13,132821557","-3,721392815"
6,2,"-10,29526768","2,5838070527","5,7140312741","19,154804804"
7,17,"-18,83732599","2,3295675394","-0,401000976","-1,378094275"
