 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 418520  73352  22816 398712   43  117   758   455 1738  799  9 20 71  0  0
 0  0 418520  73352  22816 398712    0    0     0     0  108  235  1  0 99  0  0
 0  0 418520  72904  22816 398712    0    0     0     0 2024  457  1 13 86  0  0
 1  0 418520  72456  22816 398720    0    0     0     0 4649  796  2 28 69  0  0
 0  0 418520  72232  22816 398732    0    0     0     0 4962  887  3 33 64  0  0
 0  0 418520  72232  22816 398744    0    0     0     0 5040  958  9 39 52  0  0
 0  0 418520  72232  22816 398756    0    0     0     0 5513 1009  5 40 55  0  0
 0  0 418520  72232  22824 398764    0    0     0    12 5486 1023  7 51 41  0  0
 0  0 418520  72008  22824 398780    0    0     0     0 5923 1051  6 56 38  0  0
 0  0 418520  72008  22824 398788    0    0     0     0 5777 1034  8 46 46  0  0
 0  0 418520  71784  22824 398804    0    0     0     0 4757 1002  8 48 44  0  0
 0  0 418520  71560  22824 398816    0    0     0     0 5465 1086  4 53 43  0  0
 2  0 418520  71560  22832 398832    0    0     0    12 5394 1094  5 59 37  0  0
 0  0 418520  71560  22832 398844    0    0     0    12 4796 1110  5 53 43  0  0
 1  0 418520  70888  22832 398856    0    0     0     0 5104 1179  9 57 35  0  0
 1  0 418520  70664  22832 398868    0    0     0     0 3801  936  5 71 24  0  0
 2  0 418520  69768  22832 398876    0    0     0     0 3238  893  9 71 20  0  0
 7  0 418520  68200  22840 398884    0    0     0    12 2966  691  6 75 19  0  0
 1  0 418520  68200  22840 398896    0    0     0     0 4116  991  5 67 28  0  0
 2  0 418520  68200  22840 398904    0    0     0     0 4403 1029  6 68 25  0  0
 3  0 418520  68200  22840 398912    0    0     0     0 3167  750  8 67 25  0  0
 1  0 418520  68200  22840 398920    0    0     0     0 3679  937  5 60 34  0  0
 2  0 418520  68200  22848 398932    0    0     0    12 4081 1105  9 59 33  0  0
 4  0 418520  67976  22848 398936    0    0     0     0 4020  945  8 53 39  0  0
 1  0 418520  67976  22848 398948    0    0     0     0 3365  902  8 61 31  0  0
 2  0 418520  67976  22848 398956    0    0     0     0 3879 1014  6 53 40  0  0
 0  0 418520  67752  22848 398968    0    0     0     0 3481 1017  6 60 33  0  0
 6  0 418520  67752  22856 398976    0    0     0    12 3471  992  5 55 40  0  0
 1  0 418520  67752  22856 398984    0    0     0     0 3468  933 10 53 37  0  0
 1  0 418520  67512  22856 399008    0    0     0     0 3379  938  7 56 37  0  0
 0  0 418520  67512  22856 399016    0    0     0     0 2882  908 11 65 24  0  0
 1  0 418520  67064  22856 399024    0    0     0     0 3296 1023  8 61 31  0  0
 1  0 418520  67064  22864 399036    0    0     0    12 3048  935  9 62 30  0  0
 1  0 418520  66840  22864 399040    0    0     0   316 2913  867 11 61 28  0  0
 1  0 418520  66840  22864 399052    0    0     0     0 2510  910  6 73 21  0  0
12  0 418520  66840  22864 399060    0    0     0     0 2679  791  8 64 29  0  0
 6  0 418520  66840  22864 399068    0    0     0     0 3521  937 11 48 41  0  0
 1  0 418520  66840  22872 399076    0    0     0    24 3432  969  9 53 38  0  0
 1  0 418520  66840  22872 399084    0    0     0     0 3281  953  8 55 37  0  0
 2  0 418520  66840  22872 399088    0    0     0     0 2876  845 11 65 24  0  0
 2  0 418520  66840  22872 399100    0    0     0     0 2922  895 14 56 30  0  0
 1  0 418520  66840  22872 399108    0    0     0     0 3383 1084  6 58 37  0  0
 1  0 418520  66840  22880 399116    0    0     0    12 3446 1068  8 49 42  1  0
 0  0 418520  66840  22880 399120    0    0     0     0 3094  960  9 51 40  0  0
 1  0 418520  66840  22880 399132    0    0     0     0 3510  995  7 54 39  0  0
 1  0 418520  66840  22880 399136    0    0     0     0 3422  961  7 54 39  0  0
 2  0 418520  66840  22880 399148    0    0     0     0 3282  987  8 54 38  0  0
 1  0 418520  66392  22888 399156    0    0     0    12 1985  708  7 71 21  0  0
 1  0 418520  66392  22888 399160    0    0     0     0 3007  853  4 59 37  0  0
 1  0 418520  66392  22888 399168    0    0     0     0 2519  799  8 68 24  0  0
 1  0 418520  66392  22888 399176    0    0     0     0 2574  775 11 59 31  0  0
 1  0 418520  66392  22888 399184    0    0     0     0 2553  813  7 68 25  0  0
 3  0 418520  66392  22896 399192    0    0     0    12 3177 1000  9 55 35  0  0
 3  0 418520  66392  22896 399196    0    0     0     0 2947  845  9 55 36  0  0
 2  0 418520  66392  22896 399204    0    0     0     0 2849  959  9 63 28  0  0
 1  0 418520  66392  22896 399216    0    0     0     0 3112 1007  9 60 31  0  0
 1  0 418520  66392  22896 399220    0    0     0     0 2510  770  7 71 22  0  0
 0  0 418520  66392  22904 399228    0    0     0    12 2685  873  8 71 21  0  0
 2  0 418520  66392  22904 399240    0    0     0     0 2842 1031 11 63 25  0  0
 1  0 418520  66392  22904 399248    0    0     0     0 3246 1014  7 54 39  0  0
 1  0 418520  66392  22904 399256    0    0     0     0 1970  719 16 68 16  0  0
 1  0 418520  66392  22904 399264    0    0     0     0 2591  776  7 66 27  0  0
 3  0 418520  66392  22912 399268    0    0     0    16 2571  928  7 70 24  0  0
 4  0 418520  66392  22912 399276    0    0     0     0 3083  900 14 52 34  0  0
 1  0 418520  66392  22912 399280    0    0     0   240 2579  852  7 64 30  0  0
 5  0 418520  66392  22912 399288    0    0     0     0 3254  982  9 54 36  0  0
17  0 418520  66392  22912 399296    0    0     0     0 2941  977  7 59 35  0  0
 1  0 418520  66392  22920 399308    0    0     0    24 3064 1031  8 60 32  0  0
 1  0 418520  66392  22920 399312    0    0     0     0 2998 1057 13 57 29  0  0
 4  0 418520  66392  22920 399320    0    0     0    16 2859  948  8 63 29  0  0
 3  0 418520  66392  22920 399328    0    0     0     0 2857 1009 11 58 32  0  0
 1  0 418520  66392  22920 399332    0    0     0     0 2671  843 10 56 34  0  0
