 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 410160  59800  28056 426880    0    0     0     0 1392  468  1 11 88  0  0
 0  0 410160  59800  28056 426888    0    0     0     0 2992  716  2 19 78  0  0
 1  0 410160  59800  28056 426892    0    0     0     0 3884  820  3 22 75  0  0
 0  0 410160  59800  28056 426904    0    0     0     0 4288  860  3 29 68  0  0
 0  0 410160  59800  28056 426908    0    0     0     0 4496  832  2 29 69  0  0
 0  0 410160  59800  28064 426920    0    0     0    12 4594  831  2 29 68  1  0
 1  0 410160  59800  28172 426924    0    0   100    48 4484  892  2 30 68  0  0
 0  0 410160  59800  28172 426944    0    0     0     0 3684  747  2 27 71  0  0
 0  0 410160  59800  28172 426952    0    0     0     4 4524  916  4 34 62  0  0
 0  0 410160  59800  28172 426960    0    0     0     0 3987  887  5 27 68  0  0
 0  0 410160  59800  28172 426964    0    0     0     0 4984  890  6 45 49  0  0
 0  0 410160  59800  28180 426980    0    0     0    52 4334  819  2 30 67  0  0
 1  0 410160  59800  28180 426984    0    0     0     0 5262  976  6 38 56  0  0
 0  0 410160  59800  28180 426996    0    0     0   224 4095  867  2 31 66  0  0
 0  0 410160  59800  28180 427000    0    0     0     0 4239  777  2 36 62  0  0
 0  0 410160  59800  28180 427016    0    0     0     0 4728  893  4 37 59  0  0
 1  0 410160  59800  28188 427008    0    0     0    20 3737  814  4 33 62  1  0
 0  0 410160  59800  28188 427032    0    0     0     0 3258  849  3 30 66  0  0
 1  0 410160  59800  28188 427036    0    0     0     0 3952  911  4 32 63  0  0
 1  0 410160  59800  28188 427048    0    0     0     0 4593  940  5 34 61  0  0
 0  0 410160  59800  28188 427052    0    0     0     0 4958  984  5 60 35  0  0
 3  0 410160  59548  28196 427068    0    0     0    12 4318  878  4 36 60  0  0
 0  0 410160  59548  28196 427076    0    0     0     0 4130  844  4 60 36  0  0
 1  0 410160  59548  28196 427084    0    0     0     0 4527  918  3 40 56  0  0
 1  0 410160  59296  28196 427088    0    0     0     0 4607 1050  8 60 32  0  0
 1  0 410160  59296  28196 427104    0    0     0     0 4477  825  6 36 58  0  0
 3  0 410160  59296  28204 427100    0    0     0    12 4512  885  8 42 51  0  0
 0  0 410160  59296  28204 427120    0    0     0     0 3938  914  7 41 52  0  0
 4  0 410160  59296  28204 427124    0    0     0     0 3735  821  2 30 67  0  0
 0  0 410160  59296  28204 427136    0    0     0     0 3551  836  8 36 56  0  0
 0  0 410160  59296  28204 427140    0    0     0     0 4115  946  4 53 43  0  0
 0  0 410160  59296  28212 427156    0    0     0    12 3968  793  6 38 56  0  0
 2  0 410160  59296  28212 427164    0    0     0     0 4347  895  3 50 47  0  0
 1  0 410160  59296  28212 427168    0    0     0     0 4296  871  5 37 58  0  0
 1  0 410160  59044  28212 427180    0    0     0   296 4116  947  4 32 63  0  0
 1  0 410160  59044  28212 427184    0    0     0     0 4536  864  5 44 51  0  0
 0  0 410160  59044  28220 427196    0    0     0    24 3748  922  8 33 59  0  0
 2  0 410160  59044  28220 427200    0    0     0     0 4277  924  6 56 39  0  0
 2  0 410160  59044  28220 427216    0    0     0     0 3880  785  5 35 60  0  0
 1  0 410160  59044  28220 427220    0    0     0     0 4068  876  8 37 55  0  0
 0  0 410160  58540  28224 427352    4    0   128     0 4070  986  8 59 33  0  0
 0  0 410160  58540  28232 427348    0    0     0    32 4153  947  7 40 53  0  0
 1  0 410160  58540  28232 427372    0    0     0     0 3794  875  6 38 57  0  0
 0  0 410160  58540  28232 427372    0    0     0     0 3732  916  6 42 52  0  0
 2  0 410160  58540  28240 427388    0    0     0    40 3719  779  2 29 67  1  0
 1  0 410160  58540  28240 427396    0    0     0     0 4058  890  5 34 61  0  0
 2  0 410160  69148  28076 423280    4   20   172    68 3560 1227  8 34 58  0  0
 0  0 410160  67556  28076 423296    0    0     0     0 4274 1071  7 55 37  0  0
 1  0 410160  67556  28076 423300    0    0     0     0 3447  839  6 38 56  0  0
 4  0 410160  67332  28076 423316    0    0     0    32 3716  996  8 60 32  0  0
 1  0 410160  67332  28076 423316    0    0     0     0 3518  801  8 34 58  0  0
 0  0 410160  67332  28084 423332    0    0     0    52 4137 1005  6 49 45  0  0
 0  0 410160  67332  28084 423336    0    0     0     0 4004  888  6 34 60  0  0
 0  0 410160  67332  28084 423348    0    0     0     0 4153  875  6 52 42  0  0
 0  0 410160  67332  28084 423356    0    0     0     0 4155  948  6 42 52  0  0
 1  0 410160  67332  28084 423360    0    0     0     0 4375  930  4 36 61  0  0
 1  0 410160  67332  28092 423376    0    0     0    12 3773  985  7 36 56  0  0
 1  0 410160  67332  28092 423380    0    0     0     0 4559 1042  8 60 31  0  0
 0  0 410160  67332  28092 423388    0    0     0     0 3723  905  9 43 48  0  0
 0  0 410160  67332  28096 423396    0    0     0  1108 3736  982  5 48 48  0  0
 1  0 410160  67332  28096 423404    0    0     0     0 3691  827  7 46 47  0  0
 0  0 410160  67332  28108 423396    0    0     0    56 3794  910  7 65 27  1  0
 1  0 410160  67332  28108 423424    0    0     0     0 3212  916  4 29 67  0  0
 1  0 410160  67332  28108 423432    0    0     0     0 4121  945  9 61 29  0  0
 0  0 410160  67332  28108 423436    0    0     0     0 3685  902  8 43 49  0  0
 1  0 410160  67332  28108 423448    0    0     0     0 3995  933  6 28 65  0  0
 0  0 410160  66436  28116 423444    0    0     0    12 3662  939  9 66 25  0  0
 1  0 410160  65316  28116 423464    0    0     0     0 2947  858  5 74 21  0  0
 0  0 410160  65316  28116 423468    0    0     0     0 3465  961  9 66 25  0  0
 0  0 410160  65316  28116 423484    0    0     0     0 4811  939  7 59 34  0  0
 1  0 410160  65316  28116 423488    0    0     0     0 4621 1064  3 34 63  0  0
 0  0 410160  65316  28124 423500    0    0     0    12 4496 1027  9 48 43  0  0
 0  0 409648  63552  28220 424956  948    0  2524     0 4969 1574  9 53 38  0  0
 4  0 409648  63552  28220 424996    0    0     0     0 4139 1024  9 36 55  0  0
 0  0 409648  63552  28220 425008    4    0     4     0 4563  918 11 39 51  0  0
 0  0 409648  63552  28220 425008    0    0     0     0 5049  969  7 55 38  0  0
 2  0 409648  63552  28228 425024    0    0     0    24 3249  929  4 45 51  0  0
 0  0 409648  63552  28228 425032    0    0     0     0 2912  859  6 51 44  0  0
 0  0 409648  63552  28228 425036    0    0     0     0 4217  916  6 53 41  0  0
 0  0 409648  63300  28228 425048    0    0     0     0 3688  895  5 40 55  0  0
 0  0 409648  63300  28228 425052    0    0     0     0 3820  893  7 42 51  0  0
 0  0 409648  63300  28236 425068    0    0     0    12 4103  937  8 34 57  1  0
 1  0 409648  63300  28236 425076    0    0     0     0 4424  968  5 46 49  0  0
 2  0 409648  63300  28236 425080    0    0     0     0 4301  982  7 59 34  0  0
 1  0 409648  63300  28236 425092    0    0     0     0 4100  968  9 51 40  0  0
 2  0 409648  63300  28236 425100    0    0     0   268 3774  962  9 60 31  0  0
 0  0 409648  63048  28244 425096    0    0     0    24 4035  890  5 35 59  0  0
 0  0 409648  63048  28244 425120    0    0     0     0 3641  921  6 48 47  0  0
 1  0 409648  63048  28244 425124    0    0     0     0 3458  917  5 49 46  0  0
 1  0 409648  63048  28244 425136    0    0     0     0 3425  858  4 71 26  0  0
 1  0 409648  63048  28244 425140    0    0     0     0 4142  929  9 44 47  0  0
 1  0 409648  63048  28252 425152    0    0     0    12 4392  952  6 46 48  0  0
 1  0 409648  63048  28252 425156    0    0     0     0 4197  979  8 63 29  0  0
 0  0 409648  63048  28252 425172    0    0     0     0 4179  989  4 71 26  0  0
 1  0 409648  63048  28252 425172    0    0     0     0 3926  990  6 37 57  0  0
 1  0 409648  63048  28252 425188    0    0     0     0 4155  892  9 41 50  0  0
 0  0 409648  63048  28260 425184    0    0     0    12 4085  951 12 42 46  0  0
