 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 350736  62276  26528 393632    0    0     0     0 4075 1137  2 40 57  0  0
 1  0 350736  62276  26528 393632    0    0     0     0 5114  887  5 35 59  0  0
 0  0 350736  62276  26528 393648    0    0     0     0 4736  876  6 42 52  0  0
 1  0 350736  62276  26528 393660    0    0     0     0 4830  859  4 48 48  0  0
 3  0 350736  62276  26536 393668    0    0     0    12 3998  938  4 40 56  0  0
 1  0 350736  62276  26536 393668    0    0     0     0 4131  810  4 41 55  0  0
 0  0 350736  62276  26536 393680    0    0     0     0 4610  887  4 42 55  0  0
 0  0 350736  62276  26536 393688    0    0     0     0 4326  964  4 42 54  0  0
 0  0 350736  62276  26536 393692    0    0     0     0 3868  840  4 46 50  0  0
 0  0 350736  62276  26544 393700    0    0     0    12 3947  832  3 31 66  0  0
 0  0 350736  62276  26544 393700    0    0     0     0 3918  971  4 44 53  0  0
 1  0 350736  62276  26544 393716    0    0     0     0 3870  872  5 35 60  0  0
 0  0 350736  62276  26544 393716    0    0     0     0 3772  876  3 43 55  0  0
 1  0 350736  62276  26544 393728    0    0     0     0 3531  806  1 45 53  0  0
 6  0 350736  62276  26552 393736    0    0     0    12 3362  906  1 40 58  0  0
 3  0 350736  62276  26552 393740    0    0     0     0 3193  815  3 44 53  0  0
 1  0 350736  62276  26552 393740    0    0     0     0 3166  789  3 35 62  0  0
 0  0 350736  62276  26552 393752    0    0     0     0 3204  926  3 45 52  0  0
 0  0 350736  62276  26552 393752    0    0     0     0 3256  992  3 41 56  0  0
 1  0 350736  62276  26560 393764    0    0     0    12 2963  922  3 37 61  0  0
 1  0 350736  62276  26560 393772    0    0     0     0 3110  878  4 39 57  0  0
 0  0 350736  62276  26560 393772    0    0     0     0 2308  780  6 57 38  0  0
 1  0 350736  62276  26560 393784    0    0     0     0 2866  974  8 42 50  0  0
 3  0 350736  62276  26560 393792    0    0     0    12 3458 1048  3 49 48  0  0
 0  0 350736  62276  26568 393800    0    0     0    12 3150  829  3 57 41  0  0
 1  0 350736  62276  26568 393804    0    0     0     0 3833  851  5 41 54  0  0
 9  0 350736  62276  26568 393812    0    0     0     0 3955  824  5 47 48  0  0
 3  0 350736  62276  26568 393816    0    0     0     0 2701  686  3 67 31  0  0
