 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 384116 112808  21960 378832   28   60   436   258 1605  690  7 23 69  0  0
 0  0 384116 112808  21968 378832    0    0     0    12  137  345  2  0 97  1  0
 0  0 384116 112808  21968 378832    0    0     0     0  517  329  0  2 98  0  0
 3  0 384116 112808  21968 378840    0    0     0     0 2734  607  1 19 80  0  0
 0  0 384116 112808  21968 378840    0    0     0     0 3139  743  5 27 69  0  0
 2  0 384116 112808  21968 378852    0    0     0     0 4226 1150  7 34 59  0  0
 0  0 384116 112808  21968 378852    0    0     0     0 5144 1220  9 37 54  0  0
 0  0 384116 112808  21976 378868    0    0     0    12 4320  861  1 29 70  0  0
 0  0 384116 112808  21976 378872    0    0     0     0 3576  881  3 30 67  0  0
 0  0 384116 112808  21976 378888    0    0     0     0 4375  890  6 40 54  0  0
 0  0 384116 112808  21976 378896    0    0     0     0 5100  881  4 42 54  0  0
 0  0 384116 112808  21976 378896    0    0     0     0 3654  917 11 39 51  0  0
 2  0 384116 112808  21984 378912    0    0     0    40 4316  836  5 43 52  0  0
 1  0 384116 112808  21984 378924    0    0     0     0 4616  899  6 40 54  0  0
 0  0 384116 112808  21984 378932    0    0     0     0 4264  845  3 40 56  0  0
 0  0 384116 112808  21984 378932    0    0     0     0 3824  940  4 37 59  0  0
 0  0 384116 112808  21984 378952    0    0     0     0 4109  844  3 37 60  0  0
 1  0 384116 112808  21992 378964    0    0     0    12 4280  934  4 40 56  0  0
 0  0 384116 112808  21992 378972    0    0     0     0 3895  774  3 35 62  0  0
 1  0 384116 112808  21992 378980    0    0     0     0 4204  891  3 53 44  0  0
 0  0 384116 112808  22000 378972    0    0     0   200 4404  895  6 48 46  0  0
 0  0 384116 112808  22000 379000    0    0     0     0 4380  835  2 43 55  0  0
 0  0 384116 112808  22000 379008    0    0     0     0 3965  872  6 54 40  0  0
 2  0 384116 112808  22000 379008    0    0     0     0 3610  920  4 31 65  0  0
 0  0 384116 112808  22000 379024    0    0     0     0 3988  938  2 38 60  0  0
 0  0 384116 112808  22008 379032    0    0     0    12 3621  841  2 56 41  0  0
 0  0 384116 112808  22008 379044    0    0     0     0 4159  905  5 70 26  0  0
 0  0 384116 112808  22008 379052    0    0     0     0 4076  899  4 49 47  0  0
 3  0 384116 112808  22008 379060    0    0     0     0 4142  887  5 51 44  0  0
 0  0 384116 112808  22008 379068    0    0     0     0 3855  773  2 29 68  0  0
 0  0 384116 112808  22016 379080    0    0     0    12 4176  915  7 41 52  0  0
 0  0 384116 112808  22016 379092    0    0     0     0 3779  884  6 35 60  0  0
 0  0 384116 112808  22016 379100    0    0     0     0 3604  791  4 32 63  0  0
 2  0 384116 112808  22016 379108    0    0     0     0 4208 1031  7 61 31  0  0
 1  0 384116 112808  22016 379116    0    0     0     0 3686  888  8 61 30  0  0
 3  0 384116 112808  22024 379124    0    0     0    12 2452  845  9 79 12  0  0
 1  0 384116 112808  22024 379132    0    0     0   316 1558  597  7 84  9  0  0
 1  0 384116 112808  22024 379140    0    0     0     0 2971  782  8 64 28  0  0
 2  0 384116 112808  22024 379148    0    0     0     0 3413  870 10 62 28  0  0
 1  0 384116 112808  22024 379156    0    0     0     0 3216  859  8 57 36  0  0
 0  0 384116 112808  22032 379164    0    0     0    24 2667  811 10 63 26  1  0
 1  0 384116 112808  22032 379172    0    0     0     8 2182  727 10 73 17  0  0
 3  0 384116 112808  22032 379180    0    0     0     0 2798  780 10 61 29  0  0
 1  0 384116 112808  22032 379188    0    0     0     0 2886  835  9 61 30  0  0
 3  0 384116 112808  22032 379196    0    0     0     0 2069  707 12 67 22  0  0
 1  0 384116 112808  22040 379200    0    0     0    12 2921  734  7 49 44  0  0
 6  0 384116 112808  22040 379208    0    0     0     0 2290  699 11 61 28  0  0
 2  0 384116 112808  22040 379216    0    0     0     0 2579  656  5 58 37  0  0
 6  0 384116 112808  22040 379224    0    0     0     0 1311  469  8 80 13  0  0
 1  0 384116 112808  22040 379232    0    0     0     0 2622  761 10 56 34  0  0
 0  0 384116 112808  22048 379228    0    0     0    12 2865  776  4 51 44  0  0
 5  0 384116 112808  22048 379244    0    0     0     0 2275  702  9 59 32  0  0
 2  0 384116 112808  22048 379252    0    0     0     0 2329  647  5 61 34  0  0
 0  0 384116 112808  22048 379260    0    0     0     0 2036  641  9 67 24  0  0
 6  0 384116 112808  22048 379264    0    0     0     0 2572  772  9 59 33  0  0
 2  0 384116 112808  22056 379272    0    0     0    12 1785  684  8 74 19  0  0
 2  0 384116 112808  22056 379280    0    0     0     0 2575  821 12 57 32  0  0
 1  0 384116 112808  22056 379288    0    0     0     0 2879  798  8 55 38  0  0
 2  0 384116 112808  22056 379296    0    0     0     0 2748  816 10 56 35  0  0
 4  0 384116 112808  22056 379300    0    0     0     0 1921  634 15 66 19  0  0
 4  0 384116 112808  22064 379308    0    0     0    16 2610  695  8 59 33  0  0
 1  0 384116 112808  22064 379316    0    0     0     0 2235  611 10 64 26  0  0
 5  0 384116 112808  22064 379320    0    0     0     0 2491  812  7 57 36  0  0
 3  0 384116 112808  22064 379328    0    0     0     0 2277  658  9 57 34  0  0
 1  0 384116 112808  22064 379336    0    0     0     0 2048  639  8 68 23  0  0
 4  0 384116 112808  22064 379340    0    0     0     0 2252  684 10 59 32  0  0
 3  0 384116 112808  22072 379352    0    0     0   236 1947  632  5 74 20  0  0
 1  0 384116 112808  22072 379356    0    0     0     0 1770  570  9 69 22  0  0
 0  0 384116 112808  22072 379364    0    0     0     0 2389  814  8 54 38  0  0
 1  0 384116 112808  22072 379368    0    0     0     0 2314  662  8 59 33  0  0
 1  0 384116 112808  22072 379376    0    0     0     0 2385  719  7 62 32  0  0
 5  0 384116 112808  22080 379380    0    0     0    40 2219  723 10 59 31  0  0
 0  0 384116 112808  22080 379388    0    0     0     0 2445  688  9 54 37  0  0
 4  0 384116 112808  22080 379392    0    0     0     0 2025  698  9 68 23  0  0
 3  0 384116 112808  22080 379400    0    0     0     0 2229  678  8 67 25  0  0
 2  0 384116 112808  22080 379408    0    0     0     0 2197  722 13 63 25  0  0
 4  0 384116 112808  22088 379412    0    0     0    12 2445  903 12 55 33  0  0
 2  0 384116 112808  22088 379420    0    0     0     0 2311  781 12 55 34  0  0
11  0 384116 112808  22088 379424    0    0     0     0 2068  731 16 56 28  0  0
 0  0 384116 112808  22088 379428    0    0     0     0 1515  598 14 69 17  0  0
 1  0 384116 112808  22088 379436    0    0     0     0 1650  556 10 70 21  0  0
 8  0 384116 112808  22096 379440    0    0     0    12 1970  713 14 63 22  0  0
18  0 384116 112808  22096 379444    0    0     0     0 1571  580 10 72 18  0  0
 7  0 384116 112808  22096 379452    0    0     0     0 1696  754  6 77 16  0  0
 3  0 384116 112808  22096 379456    0    0     0     0 1966  797  9 63 28  0  0
 3  0 384116 112808  22096 379464    0    0     0     0 2266  787 11 62 27  0  0
 1  0 384116 112808  22104 379488    0    0     0    12 2211  840 11 55 35  0  0
 2  0 384116 112808  22104 379500    0    0     0     0 2622 1015 12 61 27  0  0
 7  0 384116 112808  22104 379504    0    0     0     0 1597  670 12 73 15  0  0
 1  0 384116 112808  22104 379512    0    0     0     0 1938  735  7 70 23  0  0
 1  0 384116 112808  22104 379520    0    0     0     0 2659  980 10 56 33  0  0
 0  0 384116 112808  22112 379528    0    0     0    12 1975  849  9 74 17  0  0
 1  0 384116 112808  22112 379532    0    0     0     0 2560  924  8 57 35  0  0
 2  0 384116 112808  22112 379540    0    0     0     0 2545 1004  7 64 30  0  0
 1  0 384116 112808  22112 379548    0    0     0     0 1790  775 12 73 15  0  0
 2  0 384116 112808  22112 379552    0    0     0     0 2006  825  7 72 21  0  0
 1  0 384116 112808  22120 379560    0    0     0    12 2288  941 10 58 31  0  0
11  0 384116 112808  22120 379564    0    0     0   192 2427  944  8 61 31  0  0
 2  0 384116 112808  22120 379572    0    0     0     0 1727  621  8 74 18  0  0
 1  0 384116 112808  22120 379576    0    0     0     0 2255  921 12 60 27  0  0
 1  0 384116 112808  22120 379588    0    0     0     0 1933  799  9 70 21  0  0
 2  0 384116 112808  22128 379592    0    0     0    24 2207  892 10 63 27  0  0
11  0 384116 112808  22128 379596    0    0     0     0  788  522  9 91  0  0  0
 0  0 384116 112808  22128 379600    0    0     0     0 1846  755  6 69 25  0  0
 1  0 384116 112808  22128 379608    0    0     0     0 2011  698  5 66 29  0  0
 4  0 384116 112808  22128 379616    0    0     0     0 1889  843 11 68 21  0  0
 6  0 384116 112808  22136 379628    0    0     0    12 2487  986  7 59 34  0  0
 1  0 384116 112808  22136 379632    0    0     0     0 2429  944 10 61 29  0  0
 9  0 384116 112808  22136 379640    0    0     0     0 2132  795  8 66 26  0  0
