 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 417172  66200  24532 406536    0    0     0     0 3324 1021  4 49 47  0  0
 2  0 417172  66200  24540 406548    0    0     0    12 3017 1049  9 58 32  0  0
 2  0 417172  66200  24540 406552    0    0     0     0 2715  965 13 61 26  0  0
 0  0 417172  66200  24540 406560    0    0     0     0 2739  949 12 56 32  0  0
 1  0 417172  66200  24540 406568    0    0     0     0 3017 1043  8 57 35  0  0
 6  0 417172  66200  24540 406576    0    0     0     0 2233  884  9 71 19  0  0
 3  0 417172  66200  24548 406588    0    0     0   268 3390 1194  8 56 36  0  0
 0  0 417172  66200  24548 406596    0    0     0     0 2937 1126 12 58 30  0  0
 7  0 417172  66200  24548 406600    0    0     0     0 2159  805  7 68 25  0  0
 0  0 417172  66200  24548 406608    0    0     0     0 2884 1030  9 57 33  0  0
 2  0 417172  66200  24548 406620    0    0     0     0 2748 1046  7 64 29  0  0
11  0 417172  66200  24556 406628    0    0     0    12 1721  752  8 74 18  0  0
 2  0 417172  66200  24556 406636    0    0     0     0 2875  985 10 55 34  0  0
 1  0 417172  66200  24556 406644    0    0     0     0 2881  963 13 58 29  0  0
 2  0 417172  66200  24556 406648    0    0     0     0 3194 1022  9 50 41  0  0
 1  0 417172  66200  24556 406660    0    0     0     0 2912 1018 11 61 29  0  0
 1  0 417172  66200  24564 406668    0    0     0    12 3409 1201 15 49 36  0  0
 1  0 417172  66200  24564 406676    0    0     0     0 2257  804  7 74 20  0  0
 4  0 417172  66200  24564 406684    0    0     0     0 2522  994 11 64 25  0  0
 3  0 417172  66200  24564 406692    0    0     0     0 3033 1011 12 56 32  0  0
 1  0 417172  66200  24564 406696    0    0     0     0 2350  804  8 68 24  0  0
 0  0 417172  66200  24572 406704    0    0     0    28 2980 1084  8 57 35  0  0
 1  0 417172  66200  24572 406712    0    0     0     0 2991 1090  8 58 35  0  0
 2  0 417172  66200  24572 406720    0    0     0     0 3165 1112  8 56 35  0  0
 2  0 417172  66200  24572 406724    0    0     0     0 2771  993  7 63 31  0  0
 1  0 417172  66200  24572 406736    0    0     0     0 2382  936  8 70 23  0  0
 1  0 417172  66200  24580 406740    0    0     0    12 2217  792  9 71 19  0  0
 9  0 417172  66200  24580 406748    0    0     0     0 2566  864 12 63 25  0  0
 3  0 417172  66200  24580 406756    0    0     0     0 3059 1063  8 51 41  0  0
 1  0 417172  66200  24580 406764    0    0     0     0 2801 1138 13 56 31  0  0
 2  0 417172  66200  24580 406772    0    0     0     0 2848  960  9 61 29  0  0
 3  0 417172  66200  24588 406780    0    0     0   228 2792  999  8 60 32  0  0
 4  0 417172  66200  24588 406784    0    0     0     0 2837 1041 12 56 32  0  0
 2  0 417172  66200  24588 406792    0    0     0     0 3186  986  6 57 37  0  0
 1  0 417172  66200  24588 406800    0    0     0     0 3251 1117  8 54 38  0  0
 2  0 417172  66200  24588 406808    0    0     0     0 2938 1029 11 58 31  0  0
 0  0 417172  66200  24596 406816    0    0     0    12 3063 1146  9 55 35  0  0
 1  0 417172  66200  24596 406824    0    0     0     0 3228 1177  8 58 34  0  0
 1  0 417172  66200  24596 406832    0    0     0     0 1946  798 11 76 13  0  0
 0  0 417172  66200  24596 406840    0    0     0     0 2939  916  6 58 35  0  0
 1  0 417172  66200  24596 406844    0    0     0     0 2959 1012 12 52 36  0  0
 3  0 417172  66200  24604 406852    0    0     0    12 2100  868 10 66 25  0  0
 0  0 417172  66200  24604 406860    0    0     0     0 2556  915  9 62 28  0  0
 1  0 417172  66200  24604 406868    0    0     0     0 3035  988  8 56 36  0  0
12  0 417172  66200  24604 406876    0    0     0     0 2947  932 11 62 27  0  0
 1  0 417172  66200  24604 406880    0    0     0     0 3088 1029 10 58 33  0  0
 2  0 417172  66200  24612 406888    0    0     0    12 2962  958 10 57 32  0  0
 0  0 417172  66200  24612 406892    0    0     0     0 3420  944  9 49 42  0  0
 0  0 417172  66200  24612 406900    0    0     0     0 2503  855  9 64 28  0  0
 1  0 417172  66200  24612 406908    0    0     0     0 2537  978 10 63 27  0  0
 2  0 417172  66200  24612 406916    0    0     0     0 1999  794  8 68 24  0  0
 1  0 417172  66200  24620 406924    0    0     0    12 2754  996 10 63 27  0  0
11  0 417172  66200  24620 406932    0    0     0     0 1774  777 11 78 11  0  0
 2  0 417172  66200  24620 406940    0    0     0     0 2068  811  9 69 22  0  0
 1  0 417172  66200  24620 406948    0    0     0     0 2592 1031 10 58 31  0  0
 1  0 417172  66200  24620 406952    0    0     0     0 3436 1097 15 49 36  0  0
 3  0 417172  66200  24628 406960    0    0     0    12 2578  848  9 70 22  0  0
 4  0 417172  66200  24628 406964    0    0     0     0 2643  964  9 63 29  0  0
 2  0 417172  66200  24628 406972    0    0     0     0 2349  878 13 61 25  0  0
 7  0 417172  66200  24628 406976    0    0     0     0 3013  977  9 57 34  0  0
 1  0 417172  66200  24628 406984    0    0     0     0 1494  611 13 76 10  0  0
 2  0 417172  66200  24636 406980    0    0     0    12 2881  912  6 57 37  0  0
 1  0 417172  66200  24636 406992    0    0     0   216 2612  831 13 61 26  0  0
 4  0 417172  66200  24636 406996    0    0     0     0 2358  851 10 66 25  0  0
 6  0 417172  66200  24636 407004    0    0     0     0 2221  816 11 69 19  0  0
 5  0 417172  66200  24636 407012    0    0     0     0 2862 1009 10 54 37  0  0
 2  0 417172  66200  24644 407020    0    0     0    24 2988  982 12 49 38  0  0
 3  0 417172  66200  24644 407024    0    0     0     0 3125  988 10 48 42  0  0
 5  0 417172  66200  24644 407032    0    0     0     0 3084 1053  9 53 39  0  0
 1  0 417172  66200  24644 407040    0    0     0     0 2290  770  8 63 29  0  0
10  1 417172  66200  24644 407048    0    0     0     0 2352  677  4 62 34  0  0
 2  0 417172  66200  24652 407056    0    0     0    12 2691  989 14 54 32  0  0
 3  0 417172  66200  24652 407064    0    0     0     0 1906  757 13 68 20  0  0
 2  0 417172  66200  24652 407068    0    0     0     0 2108  753  9 68 24  0  0
 3  0 417172  66200  24652 407076    0    0     0     0 2041  775 11 61 28  0  0
 4  0 417172  66200  24652 407080    0    0     0     0 2595  884 10 60 31  0  0
 2  0 417172  66200  24660 407092    0    0     0    12 2184  737  6 73 21  0  0
 2  0 417172  66200  24660 407096    0    0     0     0 2760  943  8 61 31  0  0
 2  0 417172  66200  24660 407100    0    0     0     0 2274  873  8 64 28  0  0
 2  0 417172  66200  24660 407112    0    0     0     0 2398  919 13 64 23  0  0
 1  0 417172  66200  24660 407120    0    0     0     0 2802  970  8 63 29  0  0
 1  0 417172  66200  24668 407120    0    0     0    12 2222  844  9 63 28  0  0
 3  0 417172  66200  24668 407136    0    0     0     0 2348  851  9 60 31  0  0
 3  0 417172  66200  24668 407140    0    0     0     0 2561  897  8 61 31  0  0
 1  0 417172  66200  24668 407148    0    0     0     0 2237  779  4 65 30  0  0
 2  0 417172  66200  24668 407152    0    0     0     0 2773  871  7 53 40  0  0
 3  0 417172  66200  24676 407160    0    0     0    12 2768  945 10 56 34  0  0
 5  0 417172  66200  24676 407164    0    0     0     0 1740  694 10 71 19  0  0
 0  0 417172  66200  24676 407172    0    0     0     0 2475  879  8 63 29  0  0
 1  0 417172  66200  24676 407180    0    0     0     0 2359  810  8 64 28  0  0
 1  0 417172  66200  24676 407184    0    0     0     0 3118  997 11 51 38  0  0
 2  0 417172  66200  24684 407184    0    0     0    12 2565  963  9 66 23  1  0
 2  0 417172  66200  24684 407200    0    0     0   216 2816  972 10 56 34  0  0
15  0 417172  66200  24684 407208    0    0     0     0 2267  831 10 67 24  0  0
 2  0 417172  66200  24684 407212    0    0     0     0 2902  984 10 55 36  0  0
 3  0 417172  66200  24684 407220    0    0     0     0 2647  952 13 51 36  0  0
12  1 417172  66200  24688 407220    0    0     0     4 2350  851 10 62 28  0  0
 2  0 417172  66200  24692 407236    0    0     0    32 3016 1138  9 53 38  0  0
 2  0 417172  66200  24692 407240    0    0     0     0 3020 1047 12 55 32  0  0
 3  0 417172  66200  24692 407252    0    0     0     0 3056 1003  8 56 36  0  0
 2  0 417172  66200  24692 407256    0    0     0     0 2515  924 12 55 33  0  0
 5  0 417172  66200  24700 407264    0    0     0    12 2734  911  8 54 37  1  0
 1  0 417172  66200  24700 407268    0    0     0     0 1975  795 11 62 27  0  0
 6  0 417172  66200  24700 407272    0    0     0     0 1860  713 14 67 19  0  0
 1  0 417172  66200  24700 407280    0    0     0     0 1511  649 13 74 13  0  0
 1  0 417172  66200  24700 407288    0    0     0     0 3207 1027 12 53 36  0  0
 9  0 417172  66200  24708 407284    0    0     0    12 1187  528 14 72 14  0  0
 6  0 417172  66200  24708 407296    0    0     0     0 3014 1024 10 50 40  0  0
 0  0 417172  66200  24708 407308    0    0     0     0 2578  839 12 63 25  0  0
 1  0 417172  66200  24708 407308    0    0     0     0 2610  900  9 63 28  0  0
