procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 406800  69272  23000 411328    0    0     0     0 2815  776  4 25 71  0  0
 0  0 406800  69272  23000 411336    0    0     0     0 2612  751  3 18 78  0  0
 0  0 406800  69272  23000 411340    0    0     0     0 3257  756  2 19 79  0  0
 1  0 406800  69272  23008 411348    0    0     0    12 2583  712  3 18 79  0  0
 0  0 406800  69272  23008 411352    0    0     0     0 3343  771  6 32 62  0  0
 1  0 406800  69272  23008 411360    0    0     0     0 3554  804  2 33 64  0  0
 0  0 406800  69272  23008 411364    0    0     0     0 3735 1003  6 31 63  0  0
 2  0 406800  69272  23008 411372    0    0     0   136 3700  758  2 27 71  0  0
 0  0 406800  69272  23016 411380    0    0     0    24 3114  753  6 30 64  0  0
 0  0 406800  69272  23016 411384    0    0     0     0 3563  822  5 28 67  0  0
 0  0 406800  69272  23016 411392    0    0     0     0 3219  750  1 31 67  0  0
 2  0 406800  69272  23016 411400    0    0     0     0 3194  671  4 32 64  0  0
 0  0 406800  69272  23016 411404    0    0     0     0 3643  757  2 31 66  0  0
 1  0 406800  69272  23024 411412    0    0     0    12 3393  772  5 22 73  0  0
 0  0 406800  69272  23024 411420    0    0     0     0 3496  805  7 30 63  0  0
 1  0 406800  69272  23024 411424    0    0     0     0 3909  861  3 35 62  0  0
 0  0 406800  69272  23024 411432    0    0     0     0 3091  798  5 24 71  0  0
 1  0 406800  69272  23024 411440    0    0     0     0 3528  771  2 30 67  0  0
 0  0 406800  69272  23032 411444    0    0     0    12 3254  806  5 22 72  1  0
 0  0 406800  69272  23032 411452    0    0     0     0 3605  735  4 35 61  0  0
 0  0 406800  69272  23032 411456    0    0     0     0 3247  645  2 23 75  0  0
 0  0 406800  69272  23032 411464    0    0     0     0 3060  793  3 22 75  0  0
 0  0 406800  69272  23032 411468    0    0     0     0 3152  728  7 27 65  0  0
 0  0 406800  69272  23040 411476    0    0     0    12 4319  936  5 50 45  0  0
 0  0 406800  69272  23040 411484    0    0     0     0 2945  767  6 24 70  0  0
 0  0 406800  69272  23040 411488    0    0     0     0 3757  738  4 33 64  0  0
 0  0 406800  69272  23040 411496    0    0     0     0 3517  763  4 23 72  0  0
 0  0 406800  69272  23040 411500    0    0     0     0 3242  760  4 23 74  0  0
 0  0 406800  69272  23048 411508    0    0     0    12 3190  740  2 19 78  0  0
 0  0 406800  69272  23048 411516    0    0     0     0 3725  743  2 31 67  0  0
 0  0 406800  69272  23048 411520    0    0     0     0 3401  744  1 34 65  0  0
 0  0 406800  69272  23048 411528    0    0     0     0 3749  729  2 28 70  0  0
 0  0 406800  69272  23048 411536    0    0     0     0 3845  794  3 28 69  0  0
 0  0 406800  69272  23056 411540    0    0     0    12 3200  722  4 26 70  0  0
 0  0 406800  69272  23056 411548    0    0     0     0 3507  717  1 28 71  0  0
 0  0 406800  69272  23056 411552    0    0     0     0 3362  743  4 27 70  0  0
 0  0 406800  69272  23056 411560    0    0     0     0 3537  755  4 28 68  0  0
 0  0 406800  69272  23056 411568    0    0     0     0 3210  724  2 20 78  0  0
 1  0 406800  69272  23064 411576    0    0     0   216 3240  724  4 24 71  0  0
 0  0 406800  69272  23064 411580    0    0     0     0 2893  669  4 27 69  0  0
 1  0 406800  68600  23064 411588    0    0     0     0 2989  726  2 35 63  0  0
 0  0 406800  68600  23064 411592    0    0     0     0 3843  794  6 45 49  0  0
 2  0 406800  68600  23064 411600    0    0     0     0 3912  731  5 37 58  0  0
 1  0 406800  68600  23072 411604    0    0     0    24 3528  752  2 28 69  0  0
 0  0 406800  68600  23072 411612    0    0     0     0 3546  854  6 31 63  0  0
 0  0 406800  68600  23072 411620    0    0     0     0 3317  810  8 35 57  0  0
 1  0 406800  68600  23072 411628    0    0     0     0 3568  760  1 36 63  0  0
 0  0 406800  68600  23072 411632    0    0     0     0 3748  747  4 32 65  0  0
 0  0 406800  68600  23080 411640    0    0     0    12 3429  808  2 29 67  1  0
