r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 417428  60312  22472 403184    0    0     0    12 3195  957  8 52 39  2  0
 4  0 417428  60312  22472 403200    0    0     0     0 2938 1040  7 54 39  0  0
 6  0 417428  60312  22472 403204    0    0     0     0 2530  903  8 63 29  0  0
 1  0 417428  60312  22480 403216    0    0     0    40 3109 1145 11 56 33  0  0
 4  0 417428  60312  22480 403220    0    0     0     0 3007 1010  5 52 42  0  0
 5  0 417428  60312  22488 403332    0    0   124    48 2394 1117 11 64 25  0  0
 5  0 417428  60312  22496 404172    0    0   808     0 2404 1197 14 65 21  0  0
 2  0 417428  60312  22496 404176    0    0     0     0 2234  883  7 67 27  0  0
 3  0 417428  60312  22496 404184    0    0     0     0 2841  912 11 53 37  0  0
 2  0 417428  60312  22496 404192    0    0     0   936 1885  852 20 62 18  0  0
 1  0 417428  60312  22504 404188    0    0     0    68 3034 1027 10 56 34  0  0
 4  0 417428  60312  22504 404204    0    0     0     0 2739  917  7 57 36  0  0
 1  0 417428  60312  22504 404208    0    0     0     0 2985  994  8 53 39  0  0
 1  0 417428  60312  22504 404220    0    0     0     0 2364  871  9 62 29  0  0
 0  0 417428  60312  22504 404224    0    0     0     8 2613  941  8 58 33  0  0
 3  0 417428  60312  22516 404224    0    0     0    36 3179 1115  8 57 35  0  0
 9  0 417428  60312  22516 404240    0    0     0     0 2697 1006  9 59 32  0  0
 1  0 417428  60312  22516 404248    0    0     0     0 2870 1019 12 55 33  0  0
 2  0 417428  60312  22532 404236    0    0     0   196 2449  968 12 68 19  1  0
 2  0 417428  60312  22532 404264    0    0     0     0 2454  778 11 58 31  0  0
 3  0 417428  60312  22532 404264    0    0     0     0 2850  966 10 60 30  0  0
 2  0 417428  60312  22532 404280    0    0     0     0 2719  984  8 63 30  0  0
 1  0 417428  60312  22532 404284    0    0     0     0 2773  871  9 62 29  0  0
 1  0 417428  60312  22540 404292    0    0     0    12 2947 1008  8 56 36  0  0
 1  0 417428  60312  22540 404296    0    0     0     0 2709  931  9 57 34  0  0
 0  0 417428  60312  22540 404304    0    0     0     0 2849  911  6 57 38  0  0
20  0 417428  60312  22540 404308    0    0     0     0 2449  878  8 63 29  0  0
 1  0 417428  60312  22540 404320    0    0     0     0 2522 1053 10 63 27  0  0
 0  0 417428  60312  22548 404328    0    0     0    12 2541  925  7 56 37  0  0
14  0 417428  60312  22548 404332    0    0     0     0 2233  780 12 67 21  0  0
 1  0 417428  60312  22548 404336    0    0     0     0 2690  968  9 63 28  0  0
 1  0 417428  60312  22548 404348    0    0     0     0 2453  862 12 64 25  0  0
 0  0 417428  60312  22548 404352    0    0     0     0 2574  847 11 52 37  0  0
 2  0 417428  60312  22556 404348    0    0     0    12 2252  839  8 68 24  0  0
 0  0 417428  60312  22556 404368    0    0     0   244 2979  985  6 57 37  0  0
 1  0 417428  60312  22556 404368    0    0     0     0 2772 1069 11 59 30  0  0
 2  0 417428  60312  22556 404384    0    0     0     0 2880 1055  7 61 32  0  0
 0  0 417428  60312  22556 404396    0    0     0     0 3136 1173 14 53 34  0  0
 2  0 417428  60312  22564 404400    0    0     0    28 2353  996 11 67 22  0  0
11  0 417428  60312  22564 404404    0    0     0     0 2768  991 10 59 31  0  0
 5  0 417428  60312  22564 404416    0    0     0     0 2679  913 11 61 29  0  0
 0  0 417428  60312  22564 404416    0    0     0     0 2879  989  9 63 28  0  0
 1  0 417428  60312  22564 404432    0    0     0     0 2756  966  6 56 38  0  0
 3  0 417428  60312  22572 404424    0    0     0    12 2798  919  9 56 36  0  0
 1  0 417428  60312  22572 404444    0    0     0     0 2579  901 10 59 31  0  0
 1  0 417428  60312  22572 404452    0    0     0     0 2578  886 14 54 31  0  0
 1  0 417428  60312  22572 404456    0    0     0     0 2489  922 10 58 32  0  0
 0  0 417428  60312  22572 404468    0    0     0     0 2461  891 10 67 23  0  0
