 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 383860  94412  25296 390460    0    0     0     0 4667  912  2 36 61  0  0
 4  0 383860  94412  25296 390476    0    0     0     0 5415  983  8 45 47  0  0
 1  0 383860  94412  25296 390484    0    0     0     0 5219  940  2 52 45  0  0
 0  0 383860  94412  25304 390500    0    0     0    12 5099  999  6 57 37  0  0
 0  0 383860  94412  25304 390504    0    0     0     0 5409 1228  8 58 34  0  0
 3  0 383860  94412  25304 390524    0    0     0     0 4906 1005  5 59 35  0  0
 4  0 383860  94412  25304 390532    0    0     0     0 4666 1181  7 69 24  0  0
 0  0 383860  94412  25304 390544    0    0     0     0 3954  978 12 65 24  0  0
 0  0 383860  94412  25312 390552    0    0     0    12 4571  903  7 56 37  0  0
 1  0 383860  94412  25312 390560    0    0     0     0 4088  951  8 63 29  0  0
 1  0 383860  94412  25312 390572    0    0     0     0 3508  828  8 65 28  0  0
 1  0 383860  94412  25312 390576    0    0     0     0 3958  936  7 59 34  0  0
 1  0 383860  94412  25312 390588    0    0     0     0 3590  750  4 56 40  0  0
 8  0 383860  94412  25320 390592    0    0     0    12 3039  739  7 67 26  0  0
 0  0 383860  94412  25320 390604    0    0     0     0 2522  730  7 68 25  0  0
 8  0 383860  94412  25320 390612    0    0     0     0 3033  747  5 63 32  0  0
 1  0 383860  94412  25320 390616    0    0     0     0 2724  757  5 61 34  0  0
 1  0 383860  94412  25320 390624    0    0     0     0 2959  864  3 53 44  0  0
 2  0 383860  94412  25328 390632    0    0     0    12 3238  901  5 51 43  0  0
 3  0 383860  94412  25328 390644    0    0     0     0 3157 1006  6 58 36  0  0
 1  0 383860  94412  25328 390652    0    0     0     0 2883  896  4 55 41  0  0
 1  0 383860  94412  25328 390656    0    0     0     0 2474  714  3 64 33  0  0
 7  0 383860  94412  25328 390660    0    0     0     0 2123  774  5 74 21  0  0
 7  0 383860  94412  25336 390672    0    0     0    16 3218  776  2 45 53  0  0
 6  0 383860  94412  25336 390676    0    0     0     0 2066  725  4 72 24  0  0
 1  0 383860  94412  25336 390684    0    0     0     0 2631  949  9 56 35  0  0
 1  0 383860  94412  25336 390688    0    0     0     0 1908  659 11 68 22  0  0
 0  0 383860  94412  25336 390696    0    0     0     0 2619  823  6 55 38  0  0
 1  0 383860  94412  25344 390700    0    0     0   264 1771  669 10 72 18  0  0
