 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 410672  62360  26960 421704   94  256  1690  1000 1339  902 13 12 74  1  0
 1  0 410672  62360  26960 421704    0    0     0     0  226  811  2  1 97  0  0
 1  0 410672  62360  26960 421704    0    0     0     0  103  253  2  0 98  0  0
 0  0 410672  62360  26960 421708    0    0     0     0 1682  442  0  8 92  0  0
 1  0 410672  62360  26968 421712    0    0     0    16 3419  800  2 23 74  0  0
 0  0 410672  62360  26968 421720    0    0     0     0 4250  832  2 23 74  0  0
 2  0 410672  62360  26968 421732    0    0     0     0 4284  905  1 31 68  0  0
 0  0 410672  62360  26968 421736    0    0     0     0 4515  827  4 25 72  0  0
 0  0 410672  62360  26968 421748    0    0     0     0 3653  945  4 30 66  0  0
 0  0 410672  62360  26976 421756    0    0     0    12 3615  970  3 26 69  1  0
 0  0 410672  62360  26976 421764    0    0     0     0 4475  871  3 33 63  0  0
 0  0 410672  62360  26976 421776    0    0     0     0 4222  891  4 28 68  0  0
 0  0 410672  62360  26976 421780    0    0     0     0 3726  831  1 25 74  0  0
 3  0 410672  62360  26976 421792    0    0     0     0 3625  859  4 35 61  0  0
 0  0 410672  62360  26984 421800    0    0     0    12 4551  959  5 41 55  0  0
 1  0 410672  62136  26984 421808    0    0     0     0 4882  902  5 40 55  0  0
 0  0 410672  62136  26984 421820    0    0     0     0 3886  786  1 31 67  0  0
 1  0 410672  62136  26984 421828    0    0     0     0 4135  804  4 25 72  0  0
 1  0 410672  62136  26984 421836    0    0     0     0 4574  886  3 45 51  0  0
 0  0 410672  62136  26992 421844    0    0     0    12 4733  888  6 33 61  0  0
 0  0 410672  62136  26992 421852    0    0     0     0 4581 1062  5 36 59  0  0
 1  0 410672  62136  26992 421864    0    0     0     0 4037  801  3 36 60  0  0
 2  0 410672  62136  26992 421868    0    0     0     0 4347  879  4 43 54  0  0
 0  0 410672  62136  26992 421880    0    0     0     0 4786  941  6 46 48  0  0
 0  0 410672  62136  27000 421880    0    0     0    12 4543  929  5 41 54  0  0
 2  0 410672  62136  27000 421900    0    0     0     0 4249  885  3 32 66  0  0
 0  0 410672  62136  27000 421904    0    0     0     0 4197 1003  3 45 51  0  0
 0  0 410672  61912  27000 421916    0    0     0     0 3627  840  4 37 59  0  0
 0  0 410672  61912  27000 421924    0    0     0     0 3894  819  3 40 57  0  0
