 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 406288  68632  24364 408752    0    0     0     0 3790  724  8 40 53  0  0
 0  0 406288  68632  24372 408756    0    0     0    12 3779  776  4 33 63  0  0
 2  0 406288  68632  24372 408764    0    0     0     0 3268  743  6 25 70  0  0
 0  0 406288  68632  24372 408768    0    0     0     0 3352  669  2 34 64  0  0
 1  0 406288  68632  24372 408780    0    0     0     0 2934  636  3 15 81  0  0
 0  0 406288  68632  24372 408784    0    0     0     0 3694  807  4 29 68  0  0
 0  0 406288  68632  24380 408792    0    0     0    12 3531  712  6 22 73  0  0
 1  0 406288  68632  24380 408796    0    0     0     0 3324  659  2 20 78  0  0
 2  0 406288  68632  24380 408804    0    0     0     0 3527  806  6 31 64  0  0
 0  0 406288  68632  24380 408808    0    0     0     0 3929  713  5 33 62  0  0
 0  0 406288  68632  24380 408816    0    0     0     0 3367  730  2 23 74  0  0
 1  0 406288  68632  24388 408820    0    0     0    12 3548  797  4 64 32  0  0
 0  0 406288  68632  24388 408832    0    0     0     0 3714  778  7 51 42  0  0
 0  0 406288  68632  24388 408836    0    0     0   204 3433  797  7 25 68  0  0
 0  0 406288  68632  24388 408844    0    0     0     0 4171  815  1 39 60  0  0
 0  0 406288  68632  24388 408848    0    0     0     0 3551  835  6 29 65  0  0
 0  0 406288  68632  24396 408856    0    0     0    24 3584  785  3 24 73  0  0
 0  0 406288  68632  24396 408860    0    0     0     0 3399  727  3 22 74  0  0
 0  0 406288  68632  24396 408868    0    0     0     0 3255  699  3 22 74  0  0
 0  0 406288  68632  24396 408872    0    0     0     0 3191  739  3 22 74  0  0
 0  0 406288  68632  24396 408884    0    0     0     0 3489  749  3 22 76  0  0
 0  0 406288  68632  24404 408888    0    0     0    12 2913  734  3 23 72  1  0
 0  0 406288  68632  24404 408896    0    0     0     0 3236  621  2 19 79  0  0
 1  0 406288  68632  24404 408900    0    0     0     0 3174  699  2 19 78  0  0
 0  0 406288  68632  24404 408908    0    0     0     0 3270  685  4 25 72  0  0
 0  0 406288  68632  24404 408912    0    0     0     0 2811  684  2 16 82  0  0
 0  0 406288  68632  24412 408920    0    0     0    12 2812  661  2 21 77  0  0
 0  0 406288  68632  24412 408924    0    0     0     0 3693  771  4 44 53  0  0
 0  0 406288  68632  24412 408936    0    0     0    12 4131  844  5 41 54  0  0
 0  0 406288  68632  24412 408940    0    0     0     0 3145  759  2 22 76  0  0
 0  0 406288  68632  24412 408944    0    0     0     0 3735  759  2 28 69  0  0
 2  0 406288  68632  24420 408956    0    0     0    12 4053  771  5 38 57  0  0
 0  0 406288  68632  24420 408956    0    0     0     0 3724  696  7 26 67  0  0
 0  0 406288  68632  24420 408968    0    0     0     0 3301  783  5 27 68  0  0
 0  0 406288  68632  24420 408972    0    0     0     0 2999  636  2 19 79  0  0
 0  0 406288  68632  24420 408980    0    0     0     0 3704  786  5 32 63  0  0
 2  0 406288  68632  24428 408984    0    0     0    12 3560  778  5 42 53  0  0
 0  0 406288  68632  24428 408992    0    0     0     0 3206  668  5 28 67  0  0
 1  0 406288  68632  24428 408996    0    0     0     0 3582  690  2 27 71  0  0
 0  0 406288  68632  24428 409008    0    0     0     0 3509  619  2 20 77  0  0
 0  0 406288  68632  24428 409008    0    0     0     0 2834  786  9 20 71  0  0
 0  0 406288  68632  24436 409020    0    0     0    12 3652  667  2 29 65  4  0
 1  0 406288  68632  24436 409024    0    0     0     0 2867  697  2 17 81  0  0
 0  0 406288  68632  24436 409032    0    0     0   204 4037  814  6 29 65  0  0
 0  0 406288  68632  24436 409040    0    0     0     0 3561  696  5 30 65  0  0
 0  0 406288  68632  24436 409040    0    0     0     0 3335  683  2 24 73  0  0
 0  0 406288  68632  24444 409052    0    0     0    24 3543  771  6 23 71  0  0
 0  0 406288  68632  24444 409056    0    0     0     0 3231  768  2 26 72  0  0
 0  0 406288  68632  24444 409064    0    0     0     0 3522  684  5 20 75  0  0
 1  0 406288  68632  24444 409068    0    0     0     0 3863  716  7 24 68  0  0
 0  0 406288  68632  24444 409076    0    0     0     0 3093  675  2 24 74  0  0
 1  0 406288  68632  24452 409084    0    0     0    12 4214  808  4 46 50  0  0
 0  0 406288  68632  24452 409088    0    0     0     0 3271  692  6 27 68  0  0
 0  0 406288  68632  24452 409096    0    0     0     0 3346  723  1 26 73  0  0
 0  0 406288  68632  24452 409100    0    0     0     0 3686  771  3 33 63  0  0
 0  0 406288  68632  24452 409108    0    0     0     0 3843  749  8 28 65  0  0
 0  0 406288  68632  24460 409112    0    0     0    12 3159  749  7 28 65  0  0
 0  0 406288  68632  24460 409124    0    0     0     0 3640  801  5 34 61  0  0
 0  0 406288  68632  24460 409128    0    0     0     0 3008  738  5 24 71  0  0
 0  0 406288  68632  24460 409136    0    0     0     0 2803  768  4 21 75  0  0
 0  0 406288  68632  24460 409140    0    0     0     0 2663  687  3 14 83  0  0
 0  0 406288  68632  24468 409148    0    0     0    12 3091  776  3 30 67  0  0
 0  0 406288  68632  24468 409156    0    0     0     0 3751  747  6 32 62  0  0
 0  0 406288  68632  24468 409160    0    0     0     0 2928  678  4 22 73  0  0
 0  0 406288  68632  24468 409168    0    0     0     0 2818  716  1 21 78  0  0
 0  0 406288  68632  24468 409172    0    0     0     0 3490  778  3 26 70  0  0
 0  0 406288  68632  24476 409180    0    0     0    12 3568  773  3 30 66  1  0
 0  0 406288  68632  24476 409188    0    0     0     0 3577  705  5 26 70  0  0
 0  0 406288  68632  24476 409192    0    0     0     0 4059  826  5 40 55  0  0
 0  0 406288  68632  24476 409200    0    0     0     0 3447  722  3 30 66  0  0
 0  0 406288  68632  24476 409204    0    0     0     0 3155  764  4 18 78  0  0
 0  0 406288  68632  24484 409212    0    0     0    12 2916  749  4 16 80  0  0
 0  0 406288  68632  24484 409220    0    0     0     0 2924  748  3 19 78  0  0
 0  0 406288  68632  24484 409224    0    0     0     0 3399  727  4 23 72  0  0
 0  0 406288  68632  24484 409232    0    0     0   200 3520  704  5 28 68  0  0
 0  0 406288  68632  24484 409236    0    0     0     0 2980  702  3 20 77  0  0
 0  0 406288  68632  24492 409248    0    0     0    24 3301  701  6 22 72  0  0
 1  0 406288  68632  24492 409248    0    0     0     0 3469  708  2 24 73  0  0
