 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 350736  64540  25472 388264    0    0     0     0 3596  788  7 22 71  0  0
 0  0 350736  64540  25472 388272    0    0     0     0 4977  846  2 30 67  0  0
 1  0 350736  64540  25472 388280    0    0     0     0 4692  858  3 34 64  0  0
 1  0 350736  64540  25472 388292    0    0     0     0 4537  806  1 39 60  0  0
 0  0 350736  64540  25480 388300    0    0     0    12 5204  924  7 47 46  0  0
 3  0 350736  64540  25480 388312    0    0     0     0 4978  817  4 46 50  0  0
 1  0 350736  64540  25480 388320    0    0     0     0 5300  924  4 45 51  0  0
 0  0 350736  64540  25480 388332    0    0     0     0 4974 1001  5 46 49  0  0
 1  0 350736  64540  25480 388340    0    0     0     0 4803  904  5 51 44  0  0
 1  0 350736  64540  25488 388352    0    0     0    12 4242  965  6 48 46  0  0
 0  0 350736  64540  25488 388360    0    0     0     0 3783  796  8 48 44  0  0
 1  0 350736  64540  25488 388364    0    0     0     0 3572  747  5 51 44  0  0
 1  0 350736  64540  25488 388372    0    0     0     0 3649  769  3 46 51  0  0
 1  0 350736  64540  25488 388380    0    0     0     0 3451  766  1 42 57  0  0
 2  0 350736  64316  25496 388384    0    0     0    12 3489  771  4 37 58  1  0
 3  0 350736  64316  25496 388392    0    0     0     0 3372  817  3 34 63  0  0
 1  0 350736  64316  25496 388396    0    0     0     0 2604  709  3 47 51  0  0
 0  0 350736  64316  25496 388404    0    0     0     0 3050  806  4 40 56  0  0
 1  0 350736  63644  25496 388408    0    0     0     0 3079  799  4 34 62  0  0
 0  0 350736  63644  25504 388416    0    0     0    12 3082  683  1 30 69  0  0
 1  0 350736  63644  25504 388420    0    0     0     0 3139  799  5 37 58  0  0
 0  0 350736  63644  25504 388428    0    0     0     0 3126  890  3 36 61  0  0
 1  0 350736  63644  25504 388432    0    0     0     0 2950  890  5 39 55  0  0
 8  0 350736  63644  25504 388440    0    0     0     0 3016  811  4 36 60  0  0
 3  0 350736  63644  25512 388448    0    0     0    12 3231  896  4 41 55  0  0
 1  0 350736  63196  25512 388456    0    0     0     0 3613  880  5 42 53  0  0
 2  0 350736  63196  25512 388460    0    0     0     0 3430  957  4 42 54  0  0
 1  0 350736  63196  25512 388468    0    0     0     0 3391  979  5 37 57  0  0
 3  0 350736  63196  25512 388472    0    0     0     0 3168  902  4 50 46  0  0
 0  0 350736  63196  25520 388480    0    0     0    12 3052  878  6 54 39  0  0
 1  0 350736  62972  25520 388488    0    0     0     0 2890  752  7 49 45  0  0
 1  0 350736  62524  25520 388492    0    0     0     0 3591  797  8 48 44  0  0
 2  0 350736  62524  25520 388496    0    0     0     0 1476  411  7 77 16  0  0
 0  0 350736  62524  25520 388504    0    0     0   248 1421  508  6 81 13  0  0
 4  0 350736  62524  25528 388500    0    0     0    24 2359  742  7 63 29  0  0
11  0 350736  62524  25528 388516    0    0     0     0 2225  652  7 63 31  0  0
 0  0 350736  62276  25528 388520    0    0     0     0 2841  687  5 49 46  0  0
 6  0 350736  62276  25528 388528    0    0     0     0 1722  587  4 73 24  0  0
 0  0 350736  62276  25528 388536    0    0     0    12 2753  796  8 49 43  0  0
 0  0 350736  62276  25536 388532    0    0     0    12 3166  996  8 39 53  0  0
 1  0 350736  62276  25536 388548    0    0     0     0 1759  611  8 66 26  0  0
 1  0 350736  62276  25536 388552    0    0     0     0 2741  744  6 58 35  0  0
 1  0 350736  62276  25536 388564    0    0     0     0 2999  899  5 51 44  0  0
 1  0 350736  62276  25536 388568    0    0     0     0 3098  860  9 45 46  0  0
 1  0 350736  62276  25544 388576    0    0     0    12 3076  893  9 44 47  0  0
 5  0 350736  62276  25544 388580    0    0     0     0 2800  818  5 52 43  0  0
 1  0 350736  62276  25544 388588    0    0     0     0 1794  568  5 70 25  0  0
 1  0 350736  62276  25544 388596    0    0     0     0 2692  790  7 47 46  0  0
 2  0 350736  62276  25544 388600    0    0     0     0 2484  709  5 70 25  0  0
 1  0 350736  62276  25552 388596    0    0     0    12 2614  630  5 64 30  0  0
 3  0 350736  62276  25552 388612    0    0     0     0 2856  798  8 57 35  0  0
 1  0 350736  62276  25552 388620    0    0     0     0 2623  756  6 62 31  0  0
 0  0 350736  62276  25552 388628    0    0     0     0 3020  888  8 53 40  0  0
 1  0 350736  62276  25552 388632    0    0     0     0 1954  624  8 65 27  0  0
 0  0 350736  62276  25560 388628    0    0     0    12 3396  921  5 51 44  0  0
 1  0 350736  62276  25560 388644    0    0     0     0 2672  848  6 56 38  0  0
 1  0 350736  62276  25560 388648    0    0     0     0 3259  840  7 48 45  0  0
 1  0 350736  62276  25560 388656    0    0     0     0 2881  824  7 49 45  0  0
 1  0 350736  62276  25560 388664    0    0     0     0 2466  779  4 59 37  0  0
 0  0 350736  62276  25568 388672    0    0     0    16 2874  964  7 49 43  0  0
 0  0 350736  62276  25568 388680    0    0     0     0 1663  668 15 70 15  0  0
 1  0 350736  62276  25568 388684    0    0     0     0 2158  702  6 64 30  0  0
 7  0 350736  62276  25568 388692    0    0     0     0 2843  772  8 52 40  0  0
 0  0 350736  62276  25568 388696    0    0     0     0 3208  961  4 53 43  0  0
 5  0 350736  62276  25576 388704    0    0     0   228 2121  663  8 65 27  0  0
 1  0 350736  62276  25576 388708    0    0     0     0 3098  752  5 56 38  0  0
 0  0 350736  62276  25576 388712    0    0     0     0 3863  889  5 48 47  0  0
 0  0 350736  62276  25576 388720    0    0     0     0 2723  832  5 57 39  0  0
 3  0 350736  62276  25576 388724    0    0     0     0 3014  804  5 60 35  0  0
32  0 350736  62276  25584 388720    0    0     0    12  750  446  5 95  0  0  0
 1  0 350736  62276  25584 388736    0    0     0     0 1828  840  7 73 19  0  0
 0  0 350736  62276  25584 388740    0    0     0     0 2643  805  8 51 40  0  0
 0  0 350736  62276  25584 388748    0    0     0     0 2911  879  5 50 45  0  0
 0  0 350736  62276  25584 388752    0    0     0     0 2964  974  5 43 52  0  0
 0  0 350736  62276  25592 388760    0    0     0    12 2071  699  5 67 27  1  0
 0  0 350736  62276  25592 388764    0    0     0     0 2526  818  5 58 37  0  0
 1  0 350736  62276  25592 388772    0    0     0     0 2700  879  6 54 40  0  0
 0  0 350736  62276  25592 388780    0    0     0     0 2482  810  6 54 39  0  0
 0  0 350736  62276  25592 388784    0    0     0     0 1779  761  8 64 29  0  0
 4  1 350736  62276  25600 388780    0    0     0    12 2058  781  4 64 32  0  0
 0  0 350736  62276  25600 388796    0    0     0     0 2906 1022  8 50 43  0  0
 2  0 350736  62276  25600 388804    0    0     0     0 1810  712  6 67 27  0  0
 1  0 350736  62276  25600 388812    0    0     0     0 2446  846  8 59 33  0  0
 0  0 350736  62276  25600 388812    0    0     0     0 1651  734  6 75 19  0  0
 5  0 350736  62276  25600 388820    0    0     0     0 1899  717  7 66 27  0  0
 4  0 350736  62276  25608 388824    0    0     0    12 2539  737  4 68 28  0  0
 1  0 350736  62276  25608 388832    0    0     0     0 3173  893  6 54 40  0  0
 2  0 350736  62276  25608 388836    0    0     0     0 2249  805  7 64 29  0  0
 1  0 350736  62276  25608 388844    0    0     0     0 2300  809  6 63 31  0  0
 6  0 350736  62276  25608 388848    0    0     0     0 3090  938  5 53 42  0  0
 2  0 350736  62276  25616 388852    0    0     0    12 2998  891  6 61 33  0  0
 0  0 350736  62276  25616 388860    0    0     0     0 1489  588  9 74 17  0  0
 6  0 350736  62276  25616 388864    0    0     0     0  934  447  6 89  5  0  0
 1  0 350736  62276  25616 388868    0    0     0     0 2388  790  8 61 32  0  0
 4  0 350736  62276  25616 388880    0    0     0   196 2561  939  9 58 33  0  0
 0  0 350736  62276  25624 388888    0    0     0    24  665  468  6 92  2  0  0
 1  0 350736  62276  25624 388888    0    0     0     0 2737  918  8 51 41  0  0
 6  0 350736  62276  25624 388900    0    0     0     0 1957  781  8 62 30  0  0
 1  0 350736  62276  25624 388904    0    0     0     0 2714  923  3 51 46  0  0
 1  0 350736  62276  25624 388912    0    0     0     0 2582  883 10 52 39  0  0
 2  0 350736  62276  25632 388916    0    0     0    12  800  484  7 85  7  0  0
 3  0 350736  62276  25632 388920    0    0     0     0 2620  870  9 58 32  0  0
 3  0 350736  62276  25632 388932    0    0     0     0 2468  942  3 65 31  0  0
 1  0 350736  62276  25632 388936    0    0     0     0 2749  907  8 55 38  0  0
 2  0 350736  62276  25632 388940    0    0     0     0 2882  801  9 51 40  0  0
 2  0 350736  62276  25640 388948    0    0     0    12 2759  744  8 53 39  0  0
 0  0 350736  62276  25640 388952    0    0     0     0 1400  482  7 79 14  0  0
 8  0 350736  62276  25640 388956    0    0     0     0 2905  817  8 51 41  0  0
 4  0 350736  62276  25640 388964    0    0     0     0 1635  557 11 69 20  0  0
 0  0 350736  62276  25640 388968    0    0     0     0 2523  819  7 62 31  0  0
 1  0 350736  62276  25648 388976    0    0     0    12 2774  950  7 49 44  0  0
 2  0 350736  62276  25648 388984    0    0     0     0 2656  920 14 49 38  0  0
 1  0 350736  62276  25648 388988    0    0     0     0 2217  790  6 63 31  0  0
 9  0 350736  62276  25648 388996    0    0     0     0 2732  835 10 55 35  0  0
 2  0 350736  62276  25648 389000    0    0     0     0 2720  856  8 55 37  0  0
 0  0 350736  62276  25656 389008    0    0     0    12 2706  881  5 59 35  0  0
14  0 350736  62276  25656 389012    0    0     0     0 1603  555  4 78 19  0  0
 0  0 350736  62276  25656 389020    0    0     0     0 2929  889  5 52 43  0  0
 9  0 350736  62276  25656 389024    0    0     0     0 2259  784  6 59 34  0  0
 2  0 350736  62276  25656 389032    0    0     0     0 1592  697  8 74 18  0  0
 2  0 350736  62276  25664 389028    0    0     0    12 2537  805 15 56 29  0  0
 2  0 350736  62276  25664 389044    0    0     0     0 2853  942  5 53 42  0  0
 1  0 350736  62276  25664 389048    0    0     0     0 2592  862  7 62 31  0  0
 0  0 350736  62276  25664 389060    0    0     0     0 2147  731  8 59 32  0  0
 1  0 350736  62276  25664 389064    0    0     0     0 3149 1075  8 53 40  0  0
 1  0 350736  62276  25672 389072    0    0     0   220 2156  744 10 59 32  0  0
 0  0 350736  62276  25672 389076    0    0     0     0 2063  794  6 69 25  0  0
 2  0 350736  62276  25672 389084    0    0     0     0 1988  697  7 68 25  0  0
 1  0 350736  62276  25672 389092    0    0     0     0 1337  629  5 80 16  0  0
 2  0 350736  62276  25672 389096    0    0     0     0 2528  786  5 58 36  0  0
10  0 350736  62276  25680 389100    0    0     0    24 1499  638  8 76 16  0  0
 0  0 350736  62276  25680 389112    0    0     0     0 1993  719  8 65 27  0  0
 4  0 350736  62276  25680 389116    0    0     0     0 2610  999  8 52 41  0  0
 0  0 350736  62276  25680 389120    0    0     0     0 2424  867  5 60 35  0  0
 1  0 350736  62276  25680 389128    0    0     0     0 2426  936  8 57 35  0  0
 0  0 350736  62276  25688 389136    0    0     0    12 2263  822  5 65 30  0  0
 2  0 350736  62276  25688 389136    0    0     0     0 3349  908  7 53 41  0  0
 1  0 350736  62276  25688 389144    0    0     0     0 2974  731  4 58 38  0  0
 2  0 350736  62276  25688 389148    0    0     0     0 2799  890  9 60 31  0  0
 0  0 350736  62276  25688 389160    0    0     0     0 2826  984  8 53 39  0  0
 1  0 350736  62276  25696 389168    0    0     0    12 2766 1022 10 53 37  0  0
 0  0 350736  62276  25696 389168    0    0     0     0 2773  933  8 43 49  0  0
 0  0 350736  62276  25696 389176    0    0     0     0 2624  715  8 57 35  0  0
 2  0 350736  62276  25696 389180    0    0     0     0 2121  658  8 69 23  0  0
 1  0 350736  62276  25696 389184    0    0     0     0 2817  844  8 56 36  0  0
 0  0 350736  62276  25704 389192    0    0     0    12 2830  901  5 57 37  1  0
 6  0 350736  62276  25704 389200    0    0     0     0 2533  767  8 62 30  0  0
 0  0 350736  62276  25704 389204    0    0     0     0 2547  750  6 63 31  0  0
10  0 350736  62276  25704 389212    0    0     0     0 2060  663  7 67 26  0  0
 3  0 350736  62276  25704 389216    0    0     0     0 2680  807  9 55 36  0  0
 1  0 350736  62276  25712 389224    0    0     0    12 2395  795  7 58 35  0  0
 0  0 350736  62276  25712 389228    0    0     0     0 2332  771  8 58 35  0  0
 1  0 350736  62276  25712 389236    0    0     0     0 2675  840  9 53 38  0  0
 2  0 350736  62276  25712 389240    0    0     0     0 2651  892  5 54 41  0  0
 1  0 350736  62276  25712 389244    0    0     0     0 2952  926 10 37 53  0  0
 7  0 350736  62276  25720 389252    0    0     0   196 2577  774  6 51 43  0  0
 1  0 350736  62276  25720 389256    0    0     0     0 2282  641  4 57 39  0  0
 3  0 350736  62276  25720 389260    0    0     0     0 2091  652  7 57 36  0  0
 0  0 350736  62276  25720 389268    0    0     0     0 1975  676  7 72 22  0  0
12  0 350736  62276  25720 389272    0    0     0     0 2552  843  7 53 40  0  0
 1  0 350736  62276  25728 389268    0    0     0    36 2777  908 11 50 39  0  0
 1  0 350736  62276  25728 389284    0    0     0     0 2575  811  8 53 39  0  0
 2  0 350736  62276  25728 389292    0    0     0     0 2599  779  8 49 42  0  0
 0  0 350736  62276  25728 389300    0    0     0     0 2875  912  8 50 42  0  0
 1  0 350736  62276  25728 389304    0    0     0     0 2295  777  7 57 37  0  0
 4  0 350736  62276  25736 389308    0    0     0    12 3000  809  4 43 53  0  0
 1  0 350736  62276  25736 389316    0    0     0     0 2599  776  9 55 36  0  0
 3  0 350736  62276  25736 389320    0    0     0     0 1626  594 10 70 19  0  0
 1  0 350736  62276  25736 389328    0    0     0     0 2405  830  9 57 34  0  0
 1  0 350736  62276  25736 389332    0    0     0     0 2643  882  9 55 35  0  0
 8  0 350736  62276  25744 389336    0    0     0    12 1808  579  9 69 21  0  0
 1  0 350736  62276  25744 389344    0    0     0     0 2791  818  6 55 38  0  0
 1  0 350736  62276  25744 389352    0    0     0     0 2833 1042 12 51 37  0  0
 1  0 350736  62276  25744 389352    0    0     0     0 2126  668  5 71 23  0  0
 1  0 350736  62276  25744 389364    0    0     0     0  687  414  8 91  1  0  0
 1  0 350736  62276  25752 389368    0    0     0    12 2104  652  8 65 27  0  0
 1  0 350736  62276  25752 389372    0    0     0     0 2743  804  8 58 33  0  0
 3  0 350736  62276  25752 389380    0    0     0     0 2492  783  9 55 35  0  0
 2  0 350736  62276  25752 389384    0    0     0     0 1672  670  5 80 15  0  0
 2  0 350736  62276  25752 389392    0    0     0     0 2716  824  7 57 36  0  0
 2  0 350736  62276  25760 389400    0    0     0    12 1568  620 15 68 17  0  0
 0  0 350736  62276  25760 389404    0    0     0     0 2437  803  5 55 39  0  0
14  0 350736  62276  25760 389408    0    0     0     0 2145  641  7 71 22  0  0
 0  0 350736  62276  25760 389416    0    0     0     0 2040  649  7 68 25  0  0
 2  0 350736  62276  25760 389424    0    0     0     0 3123  939  9 48 43  0  0
 1  0 350736  62276  25768 389428    0    0     0    12 2232  820  6 64 31  0  0
 6  0 350736  62276  25768 389428    0    0     0   188 2069  694  9 62 28  0  0
 0  0 350736  62276  25776 389444    0    0     0    56 2185  844  5 60 35  0  0
 1  0 350736  62276  25776 389448    0    0     0     0 2822  941  9 54 37  0  0
 1  0 350736  62276  25784 389488    0    0    24    52 1354 1019 16 71 13  0  0
 0  0 350736  62276  25784 389492    0    0     0     0 2614  781 12 62 26  0  0
 2  0 350736  62276  25784 389500    0    0     0     0 2755  893  9 53 39  0  0
 7  0 350736  62276  25784 389504    0    0     0     0 1596  611  7 78 16  0  0
 1  0 350736  62276  25784 389508    0    0     0     0 2732  808  8 53 39  0  0
 1  0 350736  62276  25792 389516    0    0     0    56 2503  788  9 61 30  0  0
 0  0 350736  62276  25792 389520    0    0     0     0 2027  652  9 64 28  0  0
 0  0 350736  62276  25792 389528    0    0     0     0 1862  646  7 71 22  0  0
 4  0 350736  62276  25792 389532    0    0     0     0 2520  755  4 63 33  0  0
 0  0 350736  62276  25792 389540    0    0     0     0 3043  925 10 48 42  0  0
 2  0 350736  62276  25800 389544    0    0     0    12 2635 1111  8 49 43  0  0
 9  0 350736  62276  25800 389556    0    0     0     0 2328  751  7 64 30  0  0
 1  0 350736  62276  25800 389560    0    0     0     0 2701  864  7 56 37  0  0
 0  0 350736  62276  25800 389564    0    0     0     0 3137  939  8 49 43  0  0
 2  0 350736  62276  25800 389572    0    0     0     0 1903  706  9 70 21  0  0
 1  0 350736  62276  25808 389580    0    0     0    24 2302  811  6 56 38  0  0
 1  0 350736  62276  25808 389584    0    0     0     0 2443  802  6 59 35  0  0
 1  0 350736  62276  25808 389592    0    0     0     0 3047  979  7 53 40  0  0
 6  0 350736  62276  25808 389596    0    0     0     0 2435  837  7 62 31  0  0
 1  0 350736  62276  25808 389604    0    0     0     0 2510  720  7 58 35  0  0
 1  0 350736  62276  25816 389608    0    0     0    12 2437  770  9 62 29  0  0
 2  0 350736  62276  25816 389616    0    0     0     0 2670  876 10 46 44  0  0
 8  0 350736  62276  25816 389620    0    0     0     0 2287  797  9 64 27  0  0
 0  0 350736  62276  25816 389628    0    0     0     0 2990  900  5 45 50  0  0
 1  0 350736  62276  25816 389636    0    0     0     0 2765  821 10 48 42  0  0
 1  0 350736  62276  25824 389640    0    0     0    12 2305  863  8 52 38  1  0
 1  0 350736  62276  25824 389648    0    0     0     0 2774  856  8 50 42  0  0
 6  0 350736  62276  25824 389652    0    0     0   188 2312  826  8 64 28  0  0
 9  0 350736  62276  25824 389660    0    0     0     0 1974  642  7 68 25  0  0
 3  0 350736  62276  25824 389664    0    0     0     0 1527  536  4 78 18  0  0
 2  0 350736  62276  25832 389672    0    0     0    24 1795  650  7 75 18  0  0
 6  0 350736  62276  25832 389676    0    0     0     0 2827  925  7 53 40  0  0
 2  0 350736  62276  25832 389680    0    0     0   552 1109  534  5 84 11  0  0
 2  0 350736  62276  25832 389688    0    0     0   220 2735  874  7 51 41  0  0
 1  0 350736  62276  25832 389692    0    0     0     0 2344  751  7 56 37  0  0
 1  0 350736  62276  25844 389700    0    0     0    44 2534  778 12 51 37  0  0
 1  0 350736  62276  25852 389704    0    0     0    20 2598  958 10 54 36  0  0
 0  0 350736  62276  25852 389716    0    0     0     0 1342  596  9 78 14  0  0
 2  0 350736  62276  25852 389720    0    0     0     0 2622  884  6 54 40  0  0
 0  0 350736  62276  25852 389728    0    0     0     0 2103  789  9 60 31  0  0
 6  0 350736  62276  25852 389736    0    0     0     0 2645  787  8 51 41  0  0
 5  1 350736  62276  25860 389740    0    0     0    12 2616  876  9 56 35  0  0
 3  0 350736  62276  25860 389748    0    0     0     0 2355  795  7 58 36  0  0
 1  0 350736  62276  25860 389752    0    0     0     0 2375  835  6 60 34  0  0
 1  0 350736  62276  25860 389760    0    0     0     0 2507  782  8 52 40  0  0
 7  0 350736  62276  25860 389764    0    0     0     0 1981  746  6 68 26  0  0
 3  0 350736  62276  25868 389772    0    0     0    12 2205  799  6 62 32  0  0
 1  0 350736  62276  25868 389776    0    0     0     0 2465  838  8 58 34  0  0
 2  0 350736  62276  25868 389780    0    0     0     0  948  439  7 84  9  0  0
 2  0 350736  62276  25868 389784    0    0     0     0 1805  614  4 63 32  0  0
 6  1 350736  62276  25876 389784    0    0     0    12 2128  797 18 58 24  0  0
 1  0 350736  62276  25876 389796    0    0     0     0 1841  684  8 67 25  0  0
 2  0 350736  62276  25876 389804    0    0     0     0 2521  894 10 58 33  0  0
 4  0 350736  62276  25876 389808    0    0     0   180 2762  929  5 49 46  0  0
 1  0 350736  62276  25876 389816    0    0     0     0 1961  733  7 66 27  0  0
 0  0 350736  62276  25876 389824    0    0     0     0 1526  587  9 72 19  0  0
 2  0 350736  62276  25884 389824    0    0     0    24 2218  762  8 62 30  0  0
 1  0 350736  62276  25884 389832    0    0     0     0 2452  862 13 53 34  0  0
 1  0 350736  62276  25884 389836    0    0     0     0 2746  859  6 55 39  0  0
 1  0 350736  62276  25884 389848    0    0     0     0 2471  969 11 54 36  0  0
 9  0 350736  62276  25884 389852    0    0     0     0 1513  660 10 72 18  0  0
 0  0 350736  62276  25892 389856    0    0     0    12 2182  753  3 62 35  0  0
 0  0 350736  62276  25892 389864    0    0     0     0 2642  931 11 52 37  0  0
 0  0 350736  62276  25892 389868    0    0     0     0 2123  684  8 58 33  0  0
 2  0 350736  62276  25892 389876    0    0     0     0 2771  887  7 51 43  0  0
 4  0 350736  62276  25892 389880    0    0     0     0 1891  758  6 71 24  0  0
 1  0 350736  62276  25900 389888    0    0     0    12 1765  719  6 69 25  0  0
 0  0 350736  62276  25900 389892    0    0     0     0 2574  864 10 53 37  0  0
 1  0 350736  62276  25900 389900    0    0     0     0 1955  751 10 66 25  0  0
 6  0 350736  62276  25900 389908    0    0     0     0 1611  686  5 76 19  0  0
 1  0 350736  62276  25900 389912    0    0     0     0 1993  749  9 71 21  0  0
 1  0 350736  62276  25908 389920    0    0     0    12 2376  818  8 63 29  0  0
 1  0 350736  62276  25908 389924    0    0     0     0 2355  830 11 54 35  0  0
 1  0 350736  62276  25908 389932    0    0     0     0 2052  734  8 66 27  0  0
 0  0 350736  62276  25908 389936    0    0     0     0 2877 1084  8 53 39  0  0
 0  0 350736  62276  25908 389944    0    0     0     0 2841  942  7 47 46  0  0
 0  0 350736  62276  25916 389952    0    0     0    12 2801 1005  4 46 49  0  0
 0  0 350736  62276  25916 389956    0    0     0     0 2775 1011  8 55 37  0  0
 0  0 350736  62276  25916 389964    0    0     0     0 2462  760  8 56 36  0  0
 2  0 350736  62276  25916 389968    0    0     0     0 2585  822  8 59 33  0  0
 2  0 350736  62276  25916 389980    0    0     0     0 2131  818 11 61 28  0  0
 0  0 350736  62276  25924 389984    0    0     0    12 2348  845  9 61 30  0  0
10  0 350736  62276  25924 389992    0    0     0     0 2644  952  7 60 33  0  0
