,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
78,2,0,185100,58096,10480,308632,0,0,0,0,362,344,0,8,92,0,0
79,0,0,185100,58096,10480,308636,0,0,0,0,776,367,0,27,73,0,0
80,1,0,185100,58096,10480,308636,0,0,0,0,624,345,0,22,78,0,0
81,0,0,185100,57872,10488,308640,0,0,0,16,652,391,0,20,80,0,0
82,1,0,185100,57872,10488,308640,0,0,0,0,409,330,0,9,91,0,0
83,0,0,185100,57872,10488,308644,0,0,0,52,786,382,0,28,72,0,0
84,0,0,185100,57872,10488,308648,0,0,0,0,800,376,0,29,71,0,0
85,0,0,185100,57872,10488,308648,0,0,0,0,563,355,0,17,83,0,0
86,0,0,185100,57872,10500,308652,0,0,0,32,623,386,0,19,81,0,0
87,1,0,185100,57872,10500,308652,0,0,0,0,695,345,0,24,76,0,0
88,0,0,185100,57872,10500,308656,0,0,0,0,736,387,0,23,77,0,0
89,0,0,185100,57872,10500,308660,0,0,0,0,552,333,0,17,83,0,0
90,0,0,185100,57872,10500,308660,0,0,0,0,518,374,0,14,86,0,0
91,1,0,185100,57872,10508,308664,0,0,0,16,387,353,0,7,93,0,0
92,0,0,185100,57872,10508,308664,0,0,0,0,567,347,0,16,84,0,0
93,2,0,185100,57872,10508,308668,0,0,0,0,449,341,0,11,89,0,0
94,0,0,185100,57872,10508,308672,0,0,0,32,522,365,0,14,86,0,0
95,0,0,185100,57872,10508,308672,0,0,0,0,649,352,0,20,80,0,0
96,2,0,185100,57872,10520,308676,0,0,0,32,566,374,0,16,84,0,0
97,0,0,185100,57872,10520,308676,0,0,0,0,739,346,0,26,74,0,0
98,0,0,185100,57872,10520,308680,0,0,0,0,640,383,0,20,80,0,0
99,0,0,185100,57872,10520,308684,0,0,0,0,536,352,0,17,83,0,0
100,0,0,185100,57872,10520,308688,0,0,0,0,610,360,0,18,82,0,0
101,0,0,185100,57872,10528,308692,0,0,0,16,550,363,0,16,84,0,0
102,1,0,185100,57872,10528,308692,0,0,0,0,787,371,0,27,73,0,0
103,0,0,185100,57872,10528,308696,0,0,0,0,1014,383,0,38,62,0,0
104,1,0,185100,57872,10528,308696,0,0,0,0,608,369,0,19,81,0,0
105,4,0,185100,57872,10528,308700,0,0,0,0,673,346,0,22,78,0,0
106,1,0,185100,57872,10536,308704,0,0,0,16,734,388,0,25,75,0,0
107,0,0,185100,57872,10536,308704,0,0,0,0,383,315,0,8,92,0,0
108,0,0,185100,57872,10536,308708,0,0,0,0,362,346,0,6,94,0,0
109,0,0,185100,57872,10536,308708,0,0,0,0,627,313,0,20,80,0,0
110,0,0,185100,57872,10536,308712,0,0,0,0,750,415,0,25,75,0,0
111,0,0,185100,57872,10544,308716,0,0,0,16,633,339,0,21,79,0,0
112,0,0,185100,57872,10544,308716,0,0,0,0,748,372,0,24,76,0,0
113,0,0,185100,57872,10544,308720,0,0,0,0,557,344,0,17,83,0,0
114,0,0,185100,57872,10544,308720,0,0,0,0,746,385,0,26,74,0,0
115,3,0,185100,57872,10544,308724,0,0,0,0,691,340,0,22,78,0,0
116,0,0,185100,57872,10552,308724,0,0,0,16,671,362,0,21,78,1,0
117,0,0,185100,57872,10552,308728,0,0,0,0,645,362,0,22,78,0,0
118,1,0,185100,57872,10552,308732,0,0,0,0,354,353,0,8,92,0,0
119,1,0,185100,57872,10552,308732,0,0,0,0,862,356,0,29,71,0,0
120,0,0,185100,57872,10552,308736,0,0,0,0,495,354,0,14,86,0,0
121,0,0,185100,57872,10560,308740,0,0,0,16,781,392,0,27,73,0,0
122,0,0,185100,57872,10560,308740,0,0,0,0,641,387,0,20,80,0,0
123,1,0,185100,57872,10560,308744,0,0,0,0,683,355,0,23,77,0,0
124,0,0,185100,57872,10560,308744,0,0,0,76,641,361,0,19,81,0,0
125,0,0,185100,57872,10560,308748,0,0,0,0,682,337,0,22,78,0,0
126,0,0,185100,57872,10572,308748,0,0,0,32,496,373,0,14,86,0,0
127,1,0,185100,57872,10572,308752,0,0,0,0,608,389,0,18,82,0,0
128,1,0,185100,57872,10572,308756,0,0,0,0,870,387,0,32,68,0,0
129,0,0,185100,57872,10572,308756,0,0,0,16,640,346,0,20,80,0,0
130,0,0,185100,57872,10572,308760,0,0,0,0,447,373,0,10,90,0,0
131,0,0,185100,57872,10580,308760,0,0,0,24,726,386,0,23,77,0,0
132,1,0,185100,57872,10580,308764,0,0,0,0,533,358,0,14,86,0,0
133,0,0,185100,57872,10580,308768,0,0,0,0,609,347,0,18,82,0,0
134,0,0,185100,57872,10580,308768,0,0,0,0,702,348,0,23,77,0,0
135,0,0,185100,57872,10580,308772,0,0,0,0,553,354,0,15,85,0,0
136,0,0,185100,57872,10588,308772,0,0,0,16,634,370,0,21,79,0,0
137,0,0,185100,57872,10588,308776,0,0,0,0,825,417,1,30,69,0,0
138,0,0,185100,57872,10588,308776,0,0,0,0,547,345,0,16,84,0,0
139,0,0,185100,57872,10588,308780,0,0,0,0,658,366,0,22,78,0,0
140,1,0,185100,57872,10588,308784,0,0,0,48,951,382,0,35,65,0,0
141,1,0,185100,57872,10600,308784,0,0,0,32,738,380,0,24,76,0,0
142,0,0,185100,57872,10600,308788,0,0,0,0,705,370,0,24,76,0,0
143,0,0,185100,57872,10600,308792,0,0,0,0,779,349,0,28,72,0,0
144,0,0,185100,57872,10600,308792,0,0,0,0,700,363,0,25,75,0,0
145,0,0,185100,57872,10600,308796,0,0,0,0,552,343,0,16,84,0,0
146,2,0,185100,57872,10608,308796,0,0,0,16,416,368,0,12,88,0,0
147,0,0,185100,57872,10608,308800,0,0,0,0,577,335,0,18,82,0,0
148,2,0,185100,57872,10608,308800,0,0,0,0,716,383,0,24,76,0,0
149,0,0,185100,57872,10608,308804,0,0,0,0,615,367,0,18,82,0,0
150,0,0,185100,57872,10608,308812,0,0,0,0,705,377,0,25,75,0,0
151,0,0,185100,57872,10616,308812,0,0,0,16,657,341,0,20,79,1,0
152,0,0,185100,57872,10616,308816,0,0,0,0,872,326,0,32,68,0,0
153,0,0,185100,57872,10616,308820,0,0,0,0,773,366,0,27,73,0,0
154,0,0,185100,57872,10616,308820,0,0,0,0,567,356,0,18,82,0,0
