r,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
0,185100,58320,10400,308496,0,0,0,16,717,366,0,27,73,"-3,045133132","0,1573508412","0,5225148476","0,1988847749","-0,172105127","-0,19443342","-0,198823398"
0,185100,58096,10400,308496,0,0,0,0,588,379,0,17,83,"-3,474225197","0,1242347485","0,5807418098","0,0433935622","-0,133876655","-0,136109304","-0,059138706"
0,185100,58096,10400,308500,0,0,0,0,506,363,0,17,83,"-3,593057338","0,1043350262","0,4977034681","-0,016794901","-0,118236592","-0,156066412","-0,040523111"
1,185100,58096,10400,308504,0,0,0,0,673,363,0,23,77,"-3,114638511","0,0518632123","0,7070955833","0,2511117402","-0,313466667","-0,566749627","0,1395213848"
0,185100,58096,10400,308504,0,0,0,0,660,345,0,21,79,"-3,392839815","0,0282832294","0,4293921076","0,0847495753","-0,12443665","-0,210676623","-0,108126067"
0,185100,58096,10408,308508,0,0,0,96,440,345,0,12,88,"-3,851543245","0,8133672357","0,1542998858","-0,007750379","-0,207898606","-0,213499489","-0,081332516"
0,185100,58096,10408,308508,0,0,0,0,733,393,0,23,77,"-3,098332257","0,097200152","0,6779394475","0,2253281316","-0,167568732","-0,114856538","-0,156856739"
0,185100,58096,10408,308512,0,0,0,0,817,363,1,30,69,"-2,841300487","0,0383605411","0,8246142996","0,1811856778","-0,180228996","-0,086916885","-0,427657046"
0,185100,58096,10408,308516,0,0,0,0,798,377,0,27,73,"-2,962175351","0,0370690085","0,6186146714","0,2897480664","-0,171219796","-0,153963832","-0,209359229"
0,185100,58096,10408,308516,0,0,0,0,724,380,0,25,75,"-3,080535024","0,0630209162","0,6223174391","0,2321790783","-0,163856516","-0,138329496","-0,174566594"
0,185100,58096,10420,308520,0,0,0,32,512,363,0,15,85,"-3,637723092","0,3411878868","0,3945218763","0,0252356369","-0,148409076","-0,137170186","-0,058587678"
0,185100,58096,10420,308524,0,0,0,92,874,409,0,31,69,"-2,622502405","0,7466243166","0,584434236","0,5608864854","-0,326070296","-0,127362025","-0,385262875"
1,185100,58096,10420,308528,0,0,0,0,671,366,0,23,77,"-3,094255732","0,0475088678","0,7017816396","0,2809995007","-0,310576516","-0,525720069","0,1370331317"
1,185100,58096,10420,308532,0,0,0,0,548,352,0,18,82,"-3,414587149","0,0622050887","0,6025467182","0,1355315455","-0,27918827","-0,535269856","0,2185936883"
0,185100,58096,10420,308532,0,0,0,0,490,337,0,15,85,"-3,753214299","0,0555971417","0,3342240289","-0,061127486","-0,087219339","-0,167491802","-0,010637556"
0,185100,58096,10428,308536,0,0,0,16,794,388,0,28,72,"-2,876270057","0,1625276459","0,6229491182","0,363916442","-0,197718517","-0,105792264","-0,243506531"
1,185100,58096,10428,308536,0,0,0,152,734,371,0,26,74,"-2,878751539","1,1597413962","0,3936695932","0,567068133","-0,52002373","-0,584503479","-0,088367636"
0,185100,58096,10428,308540,0,0,0,0,618,392,0,21,79,"-3,25235891","0,1103832646","0,6405950914","0,1716877522","-0,150542125","-0,065802394","-0,116050338"
1,185100,58096,10444,308580,0,0,0,84,699,371,0,23,77,"-3,025953079","0,6650232091","0,516644998","0,4491400065","-0,418499072","-0,515499754","0,0289652545"
0,185100,58096,10444,308580,0,0,0,0,840,380,0,29,71,"-2,832733572","0,0078659749","0,6100643115","0,3948991225","-0,173213869","-0,088595943","-0,244412621"
0,185100,58096,10444,308584,0,0,0,0,566,350,0,18,82,"-3,536209843","0,0423139223","0,3952765577","0,0730663015","-0,1044306","-0,108200373","-0,064438751"
1,185100,58096,10444,308584,0,0,0,0,676,395,0,22,78,"-3,021204719","0,0949168134","0,8233034456","0,3514900904","-0,324269868","-0,425168097","0,1364212029"
0,185100,58096,10444,308588,0,0,0,0,543,353,0,17,83,"-3,580432654","0,0562009173","0,4054897466","0,0541218012","-0,102662819","-0,09879633","-0,050041835"
0,185100,58096,10452,308580,0,0,0,40,601,366,0,19,80,"-3,384082423","0,3548654593","0,3872341055","0,1912635139","-0,171636311","-0,088663636","-0,139931514"
0,185100,58096,10452,308592,0,0,0,0,726,368,0,24,76,"-3,134143616","0,0210685011","0,5128161425","0,2666273783","-0,14167077","-0,081616172","-0,165743314"
0,185100,58096,10452,308596,0,0,0,0,604,369,0,19,81,"-3,403478782","0,0646835051","0,4903970414","0,1435436051","-0,121512558","-0,062475445","-0,088321593"
2,185100,58096,10452,308596,0,0,0,0,783,379,0,28,72,"-2,638175331","0,0154913588","0,9412295303","0,5783364169","-0,50268599","-0,845222382","0,330542263"
0,185100,58096,10452,308600,0,0,0,0,704,354,0,24,76,"-3,200308034","-0,003222463","0,4415637361","0,2383103995","-0,130476933","-0,104811814","-0,158401596"
2,185100,58096,10460,308604,0,0,0,16,717,352,0,26,74,"-2,841455518","0,0970865344","0,7470800384","0,5115726602","-0,491857515","-0,882137908","0,3522905388"
1,185100,58096,10460,308604,0,0,0,0,727,369,0,24,76,"-2,988537312","0,0191815381","0,6849883083","0,3861730317","-0,309407308","-0,453989418","0,1101096334"
0,185100,58096,10460,308608,0,0,0,0,478,366,0,13,87,"-3,71937695","0,1019815014","0,4338684623","0,0090244419","-0,093053057","-0,036414896","0,0013378922"
0,185100,58096,10460,308608,0,0,0,136,665,369,0,23,77,"-3,176158406","1,0434062583","0,1981872178","0,4155503343","-0,309745487","-0,12269772","-0,304633976"
1,185100,58096,10460,308612,0,0,0,0,449,336,0,11,89,"-3,776651596","0,0583308814","0,444918716","0,0315820478","-0,232212151","-0,477824552","0,3139451457"
0,185100,58096,10472,308616,0,0,0,40,690,399,0,25,75,"-3,001295693","0,3680208914","0,5653846733","0,3876267213","-0,212607007","-0,002127337","-0,227806882"
0,185100,58096,10472,308616,0,0,0,0,676,371,0,21,79,"-3,257009263","0,0383372359","0,4912008589","0,2327581363","-0,127338484","-0,033704236","-0,126005633"
1,185100,58096,10472,308620,0,0,0,0,562,361,0,15,85,"-3,454783002","0,065120278","0,5825174966","0,1898102955","-0,265166276","-0,424874249","0,2413376185"
0,185100,58096,10472,308620,0,0,0,0,490,342,0,14,86,"-3,74733823","0,0426197032","0,3037189295","0,0085095137","-0,075683681","-0,06358284","-0,006845347"
0,185100,58096,10472,308624,0,0,0,0,669,378,0,20,80,"-3,27633942","0,0577051468","0,5226129334","0,2282332711","-0,129442304","-0,018162166","-0,115622441"
0,185100,58096,10480,308616,0,0,0,16,657,376,0,22,78,"-3,208639668","0,1606018147","0,4763294381","0,2737233134","-0,151485885","-0,016833967","-0,154507995"
2,185100,58096,10480,308628,0,0,0,0,536,369,0,15,85,"-3,305864133","0,0805590119","0,7896019372","0,3059181365","-0,436715717","-0,780869975","0,520246049"
0,185100,58096,10480,308632,0,0,0,0,814,426,1,30,69,"-2,598560465","0,1225019749","1,0763369182","0,3767982545","-0,210100329","0,1644579212","-0,452196134"
2,185100,58096,10480,308632,0,0,0,0,362,344,0,8,92,"-3,77340207","0,0909536497","0,6228246676","0,0930718732","-0,388606444","-0,804573611","0,6362257396"
0,185100,58096,10480,308636,0,0,0,0,776,367,0,27,73,"-2,9786893","-0,017600959","0,4962347669","0,3698797013","-0,145774769","-0,040438482","-0,211254253"
1,185100,58096,10480,308636,0,0,0,0,624,345,0,22,78,"-3,210156044","-0,013822367","0,5301139532","0,304476993","-0,275796676","-0,45062964","0,154866728"
0,185100,57872,10488,308640,0,0,0,16,652,391,0,20,80,"-3,247064752","0,1887436492","0,5454589014","0,3249244718","-0,164151575","0,0354361711","-0,147298315"
1,185100,57872,10488,308640,0,0,0,0,409,330,0,9,91,"-3,895726917","0,0405586568","0,3831436154","0,0564910056","-0,221854073","-0,428811071","0,3314722577"
0,185100,57872,10488,308644,0,0,0,52,786,382,0,28,72,"-2,882388148","0,3804610884","0,4624129745","0,5326174344","-0,234710226","-0,0178886","-0,300970395"
0,185100,57872,10488,308648,0,0,0,0,800,376,0,29,71,"-2,870524961","-0,024882781","0,5544657451","0,477619527","-0,16716539","-0,005867571","-0,252190494"
0,185100,57872,10488,308648,0,0,0,0,563,355,0,17,83,"-3,549070162","0,0270668544","0,3808990976","0,1710642214","-0,103627881","-0,013020706","-0,069774794"
